,X1,X2,labels,Player,Status,Player_ID,url
412,-3.25647872932,1.37000209856,Combo Guards,Pablo Prigioni,Inactive,prigipa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/prigipa01.html
413,1.83978191031,0.149783340186,Offensive Centers,Pascal Siakam,Active,siakapa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/siakapa01.html
414,0.0247949501621,-0.337003433498,3-and-D Wings,Pat Connaughton,Active,connapa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/connapa01.html
415,-1.8864272101,0.241858247322,Scoring Wings,Patrick Beverley,Active,beverpa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/beverpa01.html
416,-0.992787696295,-1.22931038428,Shooting Wings,Patrick McCaw,Active,mccawpa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mccawpa01.html
417,1.16589949009,-0.428819060089,Versatile Forwards,Patrick Patterson,Active,pattepa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/pattepa01.html
418,-2.69260372554,-0.136022148134,Scoring Wings,Patty Mills,Active,millspa02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/millspa02.html
419,2.36529999622,0.642991827778,Offensive Centers,Pau Gasol,Active,gasolpa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gasolpa01.html
420,-0.91740524646,-0.977702897742,Shooting Wings,Paul George,Active,georgpa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/georgpa01.html
421,2.03493335267,0.0586480513304,Offensive Centers,Paul Millsap,Active,millspa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/millspa01.html
422,-0.671803217813,-0.746822331158,Shooting Wings,Paul Pierce,Active,piercpa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/piercpa01.html
423,1.14641997644,-0.377562663855,Versatile Forwards,Pero Antic,Inactive,anticpe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anticpe01.html
424,0.267256114801,-1.40745766072,3-and-D Wings,Perry Jones,Inactive,jonespe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jonespe01.html
425,-4.83874034399,1.96706916527,Floor Generals,Phil Pressey,Inactive,pressph01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/pressph01.html
426,1.89073280771,-0.123756337013,Offensive Centers,Quincy Acy,Active,acyqu01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/acyqu01.html
427,-0.168929046968,-0.980530172907,3-and-D Wings,Quincy Miller,Inactive,millequ01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/millequ01.html
428,-0.539839521248,-1.22037627203,3-and-D Wings,Quincy Pondexter,Inactive,pondequ01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/pondequ01.html
429,-4.05333376708,2.76141238781,Floor Generals,Rajon Rondo,Active,rondora01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/rondora01.html
430,-2.69273383429,1.27912837198,Combo Guards,Ramon Sessions,Active,sessira01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/sessira01.html
431,-2.46125241542,0.0379239922284,Scoring Wings,Randy Foye,Active,foyera01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/foyera01.html
432,-1.29459094219,-1.58442748228,Shooting Wings,Rashad Vaughn,Active,vaughra01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/vaughra01.html
433,-0.408076958643,-1.51901569064,3-and-D Wings,Rasual Butler,Inactive,butlera01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/butlera01.html
434,-3.16934005241,-0.0523757005847,Scoring Wings,Raul Neto,Active,netora01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/netora01.html
435,-2.56270351128,0.346067388267,Scoring Wings,Ray McCallum,Inactive,mccalra01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mccalra01.html
436,-3.6790677437,1.46257150863,Combo Guards,Raymond Felton,Active,feltora01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/feltora01.html
437,-0.30197496985,-2.14073574116,3-and-D Wings,Reggie Bullock,Active,bullore01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bullore01.html
438,3.08647922806,0.500164653753,Defensive Centers,Reggie Evans,Inactive,evansre01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/e/evansre01.html
439,-3.25908206551,1.49011450729,Combo Guards,Reggie Jackson,Active,jacksre01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jacksre01.html
440,-1.10870888985,-0.683547274064,Shooting Wings,Reggie Williams,Active,willire02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/willire02.html
441,-0.0552583658608,-1.19392915198,3-and-D Wings,Richard Jefferson,Active,jefferi01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jefferi01.html
442,2.22950114856,0.180947278088,Offensive Centers,Richaun Holmes,Active,holmeri01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/holmeri01.html
443,-4.77089152303,2.38419018086,Floor Generals,Ricky Rubio,Active,rubiori01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/rubiori01.html
444,0.803378849614,-1.57399001108,Versatile Forwards,Robbie Hummel,Inactive,hummero01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hummero01.html
445,0.134150023906,-1.59261470604,3-and-D Wings,Robert Covington,Active,covinro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/covinro01.html
446,2.25440326934,0.639900947188,Offensive Centers,Robert Sacre,Inactive,sacrero01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/sacrero01.html
447,2.74177640066,1.02414955585,Defensive Centers,Robin Lopez,Active,lopezro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lopezro01.html
448,-1.74246839653,-0.694795477812,Shooting Wings,Rodney Hood,Active,hoodro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hoodro01.html
449,-0.615341776824,-1.49865438563,3-and-D Wings,Rodney McGruder,Active,mcgruro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mcgruro01.html
450,-2.28759354391,0.395465363525,Scoring Wings,Rodney Stuckey,Active,stuckro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stuckro01.html
451,0.165172164781,-0.312599639012,Versatile Forwards,Rondae Hollis-Jefferson,Active,holliro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/holliro01.html
452,-3.04759825302,0.238066756683,Scoring Wings,Ronnie Price,Active,pricero01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/pricero01.html
453,1.93117822214,0.987247681075,Offensive Centers,Ronny Turiaf,Inactive,turiaro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/turiaro01.html
454,3.09747241198,1.24074028235,Defensive Centers,Roy Hibbert,Active,hibbero01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hibbero01.html
455,-0.285761456479,-0.795510098927,3-and-D Wings,Rudy Gay,Active,gayru01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gayru01.html
456,3.91007926801,1.10720098893,Defensive Centers,Rudy Gobert,Active,goberru01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/goberru01.html
457,-2.7548828597,1.67735317819,Combo Guards,Russell Westbrook,Active,westbru01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/westbru01.html
458,0.817126001391,-0.49906248729,Versatile Forwards,Ryan Anderson,Active,anderry01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderry01.html
459,2.38262559126,0.862508894647,Offensive Centers,Ryan Hollins,Inactive,holliry01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/holliry01.html
460,0.250811718502,-0.83102683831,3-and-D Wings,Ryan Kelly,Active,kellyry01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/kellyry01.html
461,3.5872766142,1.3693066206,Defensive Centers,Salah Mejri,Active,mejrisa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mejrisa01.html
462,0.629840651177,-0.708448968526,Versatile Forwards,Sam Dekker,Active,dekkesa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dekkesa01.html
463,3.98687459396,1.26751752042,Defensive Centers,Samuel Dalembert,Inactive,dalemsa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dalemsa01.html
464,-1.12455499844,-0.597204749557,Shooting Wings,Sasha Vujacic,Active,vujacsa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/vujacsa01.html
465,-1.03493114538,-1.04817611046,Shooting Wings,Sean Kilpatrick,Active,kilpase01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/kilpase01.html
466,-3.93801671961,1.29145500508,Combo Guards,Sebastian Telfair,Inactive,telfase01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/telfase01.html
467,3.36147788923,0.306051917238,Defensive Centers,Serge Ibaka,Active,ibakase01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/ibakase01.html
468,-0.414610481259,-0.547564994016,3-and-D Wings,Sergey Karasev,Inactive,karasse01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/karasse01.html
469,-4.61309052358,2.79708054102,Floor Generals,Sergio Rodriguez,Active,rodrise01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/rodrise01.html
470,-2.47323824917,-0.546618227169,Scoring Wings,Seth Curry,Active,curryse01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/curryse01.html
471,0.580812592946,-1.00866366995,Versatile Forwards,Shabazz Muhammad,Active,muhamsh01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/muhamsh01.html
472,-3.80412986255,0.828052196342,Combo Guards,Shabazz Napier,Active,napiesh01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/napiesh01.html
473,-3.18725156646,0.913695330829,Combo Guards,Shane Larkin,Inactive,larkish01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/larkish01.html
