Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
Malcolm Brogdon,51,12,25.6,3.5,7.9,0.436,1,2.3,0.419,2.5,5.6,0.443,0.496,1.3,1.5,0.846,0.6,2.1,2.7,4.2,1.2,0.1,1.5,1.8,9.2,11.3,0.71,0.401,0.134,0.097,0.079,0.29,0.543,0.352,0.359,0.188,0.386,0.035,14,0.878,0.231,0.481,1,0,13.6,0.533,0.29,0.193,2.8,9.3,6.1,24.1,2.3,0.5,15.3,17.8,1.2,1,2.2,0.08,0,-1.2,-1.3,0.2
Aaron Brooks,593,182,21.9,3.7,9,0.413,1.3,3.6,0.368,2.4,5.4,0.444,0.488,1.5,1.8,0.839,0.4,1.4,1.8,3.2,0.6,0.1,1.6,2,10.3,15.2,0.595,0.241,0.14,0.091,0.121,0.405,0.506,0.392,0.427,0.393,0.167,0.001,3,0.664,0.141,0.414,43,2,13.5,0.525,0.405,0.201,2.1,6.9,4.5,23.8,1.4,0.5,14.4,23.3,10.5,8.6,19.1,0.07,0,-2.4,-1.7,1.1
Anthony Brown,40,11,19,1.4,4.4,0.324,0.7,2.4,0.278,0.8,2,0.38,0.401,0.4,0.5,0.85,0.4,2.2,2.6,0.7,0.5,0.2,0.5,1.2,4,18.1,0.449,0.142,0.074,0.08,0.153,0.551,0.44,0.231,0.429,0.37,0.633,0.017,3,0.852,0.268,0.346,0,0,5.4,0.427,0.551,0.114,2.3,12.5,7.3,5.4,1.3,0.6,10.2,12,-0.5,0.2,-0.3,-0.019,0,-0.9,-4.9,-0.6
Bobby Brown,129,2,11.6,1.8,4.8,0.378,0.6,1.9,0.31,1.2,3,0.421,0.438,0.4,0.4,0.81,0.2,0.6,0.7,1.6,0.3,0,0.9,1.1,4.6,17.2,0.612,0.188,0.083,0.061,0.28,0.388,0.496,0.404,0.289,0.406,0.267,0.021,11,0.72,0.149,0.333,8,0,8.7,0.457,0.388,0.093,1.8,5.7,3.7,22.7,1.2,0.2,14.5,22.9,-1.4,0.1,-1.3,-0.041,0,-4.5,-7.3,-2
Jaylen Brown,51,11,15.2,2.1,4.8,0.425,0.4,1.3,0.288,1.7,3.5,0.475,0.464,1.1,1.5,0.718,0.5,1.9,2.5,0.6,0.4,0.3,0.7,1.7,5.6,10.4,0.733,0.433,0.162,0.077,0.061,0.267,0.598,0.35,0.263,0.2,0.64,0.069,15,0.947,0.303,0.4,1,0,9.3,0.507,0.267,0.316,3.9,14.2,9,6.2,1.4,1.4,11.3,18.2,-0.1,0.7,0.5,0.034,0,-1.1,-5.1,-0.6
Nicolas Brussino,34,0,6.9,0.6,1.5,0.373,0.3,1,0.286,0.3,0.5,0.563,0.471,0.2,0.3,0.667,0.3,0.9,1.2,0.6,0.3,0.1,0.3,0.6,1.6,21.5,0.314,0.078,0.02,0.039,0.176,0.686,0.75,1,0.5,0.444,0.667,0.02,0,1,0.143,0.8,0,0,10,0.491,0.686,0.176,4.8,16,10.1,14.2,2,1.6,16.7,13.4,0,0.3,0.3,0.056,0,1.2,-1.2,0
Reggie Bullock,130,5,10.6,1.1,2.7,0.39,0.5,1.6,0.338,0.5,1.2,0.46,0.487,0.2,0.3,0.784,0.2,1.3,1.5,0.5,0.3,0.1,0.3,0.7,2.9,18.4,0.424,0.167,0.054,0.065,0.138,0.576,0.712,0.263,0.348,0.286,0.739,0.006,2,0.971,0.387,0.456,1,0,8.8,0.505,0.576,0.105,2.5,13.5,8,6.1,1.3,0.6,8.6,13,0.5,1.3,1.8,0.062,0,-0.6,-2.5,-0.2
Trey Burke,258,111,25.2,4.1,10.7,0.389,1.3,4,0.334,2.8,6.6,0.423,0.452,1.1,1.4,0.809,0.4,1.8,2.2,3.7,0.6,0.1,1.4,1.5,10.8,16.5,0.623,0.15,0.131,0.103,0.239,0.377,0.507,0.343,0.419,0.415,0.214,0,1,0.882,0.171,0.407,15,1,12.7,0.478,0.377,0.132,1.6,8.4,5,25,1.2,0.4,11.4,23.1,2.8,3,5.9,0.043,0,-2.5,-2.5,-0.8
Alec Burks,276,42,22.5,3.6,8.3,0.433,0.6,1.7,0.361,3,6.7,0.451,0.469,2.6,3.5,0.748,0.7,2.2,2.9,1.9,0.6,0.2,1.4,2,10.4,12,0.801,0.32,0.181,0.074,0.227,0.199,0.609,0.328,0.355,0.357,0.359,0.039,84,0.788,0.274,0.4,15,0,14.1,0.528,0.199,0.416,3.5,11.2,7.3,14,1.5,0.6,12.5,22.9,6,3.5,9.4,0.073,0,-1.6,-1.9,0.2
Jimmy Butler,371,266,31.9,4.9,10.9,0.447,0.8,2.5,0.331,4,8.4,0.481,0.485,4.5,5.4,0.825,1.4,3.4,4.8,2.9,1.4,0.4,1.4,1.4,15,12.7,0.772,0.318,0.11,0.12,0.223,0.228,0.635,0.357,0.396,0.372,0.506,0.058,220,0.842,0.268,0.419,18,1,18.9,0.567,0.228,0.501,4.9,11.4,8.2,15,2.3,1,9.3,20.5,28.6,15.7,44.2,0.18,0,1,3.6,16.8
Bruno Caboclo,22,1,4,0.3,1.3,0.207,0.2,0.6,0.308,0.1,0.7,0.125,0.276,0,0,0,0.2,0.2,0.5,0.2,0.2,0.1,0.5,0.4,0.7,15.3,0.552,0.138,0.241,0.034,0.138,0.448,0.5,0,0,0,1,0.034,1,1,0.615,0.25,0,0,-2.2,0.276,0.448,0,6.4,6.4,6.4,5.8,2.3,1.8,25.6,19.8,-0.5,0.1,-0.4,-0.207,0,-1.1,-10.4,-0.2
Jose Calderon,772,557,28.3,3.7,7.9,0.473,1.1,2.7,0.411,2.6,5.2,0.506,0.544,1.1,1.3,0.875,0.4,2.2,2.6,6.3,0.9,0.1,1.6,1.7,9.7,17,0.658,0.192,0.026,0.074,0.366,0.342,0.652,0.368,0.412,0.458,0.228,0,3,0.855,0.152,0.441,9,1,16.3,0.574,0.342,0.166,1.4,9.1,5.3,35,1.6,0.2,16.1,16.3,45.8,9.9,55.7,0.122,0,-2.3,-0.1,10.2
Kentavious Caldwell-Pope,286,247,30,4.2,10.4,0.409,1.5,4.4,0.34,2.7,6,0.459,0.481,1.5,2,0.778,0.7,2.3,3,1.5,1.2,0.2,1,1.9,11.5,15.9,0.576,0.221,0.097,0.09,0.167,0.424,0.619,0.294,0.42,0.364,0.548,0.033,86,0.851,0.253,0.404,16,0,11.8,0.512,0.424,0.191,2.4,8.8,5.5,7.9,2,0.5,8.2,18,6.5,7.1,13.6,0.076,0,-0.2,0.1,4.5
Isaiah Canaan,176,60,21.1,2.8,7.6,0.37,1.8,4.9,0.354,1.1,2.7,0.399,0.484,1.4,1.7,0.826,0.3,1.6,1.9,1.6,0.6,0.1,1.1,1.6,8.8,18.8,0.352,0.151,0.093,0.04,0.068,0.648,0.488,0.36,0.296,0.315,0.344,0.001,2,0.692,0.203,0.367,1,0,10.9,0.524,0.648,0.222,1.5,8.5,4.9,12.9,1.5,0.4,11.6,19.7,1.8,1.8,3.6,0.046,0,-2.6,-2.7,-0.7
Clint Capela,129,70,19.4,3.6,5.9,0.604,0,0,0,3.6,5.9,0.605,0.604,1,2.6,0.399,2.3,4.2,6.5,0.6,0.6,1.2,0.9,2.4,8.2,1.9,0.999,0.773,0.22,0.004,0.001,0.001,0.69,0.315,0.333,0,0.757,0.298,207,0,0,0,1,0,19,0.58,0.001,0.443,13.2,23.8,18.5,5.4,1.5,5.2,11.1,17.6,4.4,3.5,7.9,0.152,0,1.4,0.1,1.3
DeMarre Carroll,391,235,22.8,3,6.7,0.447,0.9,2.6,0.366,2.1,4.1,0.498,0.517,1.2,1.6,0.729,1.2,2.6,3.8,1.1,1,0.3,0.7,2,8.1,14.3,0.614,0.272,0.144,0.049,0.149,0.386,0.658,0.361,0.331,0.39,0.674,0.025,66,0.96,0.356,0.391,4,0,13.6,0.547,0.386,0.236,5.9,13.2,9.6,7.6,2.3,0.9,9,16.2,11.4,9.5,20.9,0.112,0,0.4,1.2,7.2
Vince Carter,1321,954,32.2,6.7,15.2,0.438,1.5,4.1,0.373,5.2,11.2,0.462,0.488,3.6,4.5,0.799,1.2,3.4,4.6,3.4,1.1,0.6,1.9,2.7,18.4,14.3,0.712,0.243,0.12,0.111,0.238,0.288,0.577,0.408,0.388,0.4,0.411,0.044,709,0.814,0.174,0.402,40,2,19.4,0.536,0.267,0.294,4.2,12.3,8.2,20.3,1.7,1.4,9.7,27.3,79.1,42.1,121.2,0.137,0,-0.4,3.1,54.2
Michael Carter-Williams,212,185,31.6,5.3,12.8,0.411,0.5,2.2,0.25,4.7,10.6,0.443,0.432,2.8,4.1,0.695,1.1,4.4,5.5,5.8,1.6,0.6,3.3,2.8,13.9,10.3,0.832,0.326,0.253,0.105,0.147,0.168,0.575,0.378,0.36,0.322,0.277,0.034,85,0.772,0.138,0.333,4,0,14.3,0.476,0.168,0.319,3.7,15.8,9.6,30.7,2.5,1.5,18.2,24.6,-3.7,7.3,3.6,0.026,0,0.7,-0.7,2.2
Omri Casspi,485,138,21.6,3.1,6.9,0.442,1,2.6,0.368,2.1,4.3,0.486,0.511,1.3,1.9,0.675,0.9,3.3,4.2,1.2,0.6,0.2,1.1,1.6,8.4,13,0.626,0.279,0.223,0.046,0.077,0.374,0.651,0.364,0.295,0.363,0.652,0.048,150,0.914,0.243,0.422,6,0,12.8,0.538,0.374,0.272,4.5,17.2,10.9,8.6,1.5,0.8,12.2,18,8.3,7.7,16,0.073,0,-0.8,-1.4,1.5
Willie Cauley-Stein,112,39,17.7,2.7,4.7,0.567,0,0,0,2.7,4.7,0.571,0.567,1,1.6,0.624,1.6,2.6,4.2,0.5,0.6,0.8,0.6,2,6.4,4.2,0.992,0.573,0.285,0.076,0.059,0.008,0.686,0.464,0.275,0.355,0.763,0.261,117,0,0.5,0,0,0,15.6,0.586,0.008,0.342,9.8,16.3,13.1,4.5,1.7,3.7,10.3,14.8,3.2,1.9,5.2,0.125,0,1,0,1
Tyson Chandler,1030,826,28.5,3.3,5.5,0.594,0,0,0,3.3,5.5,0.595,0.594,2.2,3.4,0.647,3.2,6.2,9.4,0.8,0.6,1.2,1.5,2.9,8.7,3,0.998,0.738,0.162,0.05,0.048,0.002,0.681,0.359,0.333,0.337,0.659,0.309,1619,0,0.1,0,4,0,16.4,0.624,0.002,0.623,12.7,25.1,18.8,4.6,1,3.4,17.7,13.6,53.1,43.4,96.5,0.158,0,2.2,1.6,26.6
Wilson Chandler,493,360,31,5.4,12.2,0.443,1.3,3.9,0.34,4.1,8.3,0.491,0.497,1.8,2.3,0.771,1.2,4.3,5.4,1.8,0.8,0.7,1.5,2.8,13.9,13.6,0.68,0.27,0.154,0.087,0.168,0.32,0.658,0.393,0.38,0.373,0.477,0.05,266,0.959,0.322,0.387,14,0,13.6,0.527,0.32,0.191,4.1,15.5,9.7,9.3,1.2,1.6,10,20.6,12,10.3,22.3,0.07,0,-0.5,-0.7,5
Marquese Chriss,53,46,18.4,2.9,6.8,0.425,0.8,2.4,0.313,2.1,4.4,0.487,0.481,1.1,1.7,0.615,1.1,2.3,3.4,0.6,0.8,0.6,1.1,3,7.6,12.1,0.644,0.381,0.139,0.039,0.083,0.356,0.569,0.34,0.5,0.367,0.628,0.172,48,1,0.531,0.338,1,0,10.9,0.502,0.356,0.253,6.5,14.4,10.3,4.8,2,2.6,12.9,19.9,-0.1,0.7,0.6,0.03,0,-0.5,-2.8,-0.2
Rakeem Christmas,7,0,3.7,0.6,1.1,0.5,0,0,0,0.6,1.1,0.5,0.5,0.6,0.7,0.8,0.4,0.4,0.9,0.1,0.1,0.3,0,0.4,1.7,8.4,1,0.5,0.125,0.125,0.25,0,1,0,0,0,0.75,0.125,1,0,0,0,0,0,23.2,0.588,0,0.625,13,12.7,12.8,5.4,1.9,6.6,0,17.4,0.1,0,0.1,0.232,0,1.2,2,0
Semaj Christon,38,0,15.1,1.4,4,0.342,0.2,1.1,0.195,1.2,2.9,0.396,0.368,0.3,0.6,0.524,0.3,1.1,1.4,2.4,0.4,0.1,0.7,1.3,3.2,14,0.73,0.276,0.164,0.171,0.125,0.27,0.548,0.32,0.269,0.316,0.273,0.013,1,0.875,0.293,0.167,7,1,6.3,0.381,0.27,0.138,2.5,8,5.3,22.1,1.2,0.4,14.3,14,-0.4,0.4,0,0.002,0,-1.9,-7,-0.7
Ian Clark,166,1,9.7,1.5,3.4,0.441,0.5,1.5,0.365,1,1.9,0.5,0.521,0.4,0.5,0.8,0.2,0.8,1,0.9,0.3,0.1,0.6,0.9,4,15.3,0.562,0.221,0.135,0.109,0.097,0.438,0.635,0.364,0.419,0.473,0.613,0.004,2,0.945,0.317,0.354,2,0,11.8,0.546,0.438,0.158,2.3,9.1,5.9,13.4,1.8,1.1,13.5,19.1,0.9,1.7,2.6,0.078,0,-1.3,-2.5,-0.2
Jordan Clarkson,193,120,28.7,5.4,12.3,0.441,1.1,3.3,0.334,4.3,8.9,0.482,0.487,2,2.4,0.812,1,2.5,3.4,2.7,1.1,0.1,1.7,2,13.9,12.7,0.727,0.264,0.194,0.108,0.161,0.273,0.595,0.428,0.42,0.401,0.281,0.027,57,0.773,0.183,0.288,3,0,14.8,0.522,0.273,0.197,3.5,9.6,6.5,16.2,1.9,0.3,11.5,23,4,1.5,5.4,0.047,0,-1.9,-1.4,0.8
Darren Collison,540,355,29.5,4.7,10,0.469,0.8,2.2,0.379,3.9,7.8,0.494,0.51,2.5,2.9,0.852,0.5,2.1,2.6,4.8,1.1,0.1,2.1,1.7,12.7,12.9,0.784,0.278,0.129,0.134,0.243,0.216,0.623,0.375,0.436,0.442,0.297,0.009,45,0.76,0.304,0.477,19,0,15.9,0.562,0.216,0.291,1.8,8.1,5,26,1.9,0.4,15.6,20.2,23.9,10.4,34.3,0.103,0,-1.3,-0.2,7.1
Nick Collison,888,177,20.8,2.5,4.6,0.533,0,0.1,0.21,2.4,4.5,0.541,0.535,1,1.4,0.726,2,3.3,5.3,1,0.5,0.5,1,2.8,6,6.2,0.976,0.551,0.178,0.079,0.168,0.024,0.666,0.389,0.38,0.367,0.664,0.105,392,1,0.53,0.245,4,0,13.2,0.569,0.024,0.304,11.1,17.9,14.5,7.5,1.2,1.9,15.7,13.4,26.2,18,44.2,0.115,0,0.9,0.4,11.4
Mike Conley,680,650,32.5,5.1,11.5,0.44,1.2,3.3,0.377,3.8,8.2,0.466,0.494,2.6,3.2,0.812,0.4,2.5,2.9,5.7,1.5,0.2,2,2,13.9,13.1,0.716,0.296,0.152,0.083,0.185,0.284,0.577,0.374,0.383,0.398,0.209,0.002,14,0.803,0.194,0.435,25,0,17,0.54,0.284,0.277,1.5,9.1,5.2,28.4,2.4,0.5,13.6,20.8,35.8,22.6,58.4,0.127,0,-0.5,1.7,20.5
Pat Connaughton,58,0,5.1,0.5,1.3,0.377,0.2,0.5,0.333,0.3,0.8,0.404,0.442,0.2,0.2,0.818,0.3,0.6,0.9,0.4,0.1,0,0.2,0.2,1.3,13.1,0.61,0.351,0.117,0.052,0.091,0.39,0.593,0.222,0,0.143,0.632,0,0,0.9,0.2,0.333,0,0,8.8,0.47,0.39,0.143,5.9,13.5,9.7,10.1,0.8,0.6,13.7,14.2,0,0.1,0.1,0.023,0,-1.8,-4.9,-0.2
DeMarcus Cousins,466,444,31.9,7.6,16.5,0.459,0.4,1.1,0.326,7.2,15.3,0.469,0.47,5.5,7.5,0.735,2.9,7.8,10.8,3,1.4,1.2,3.4,3.9,21,8.6,0.932,0.368,0.287,0.071,0.204,0.068,0.623,0.366,0.336,0.383,0.486,0.071,490,0.93,0.055,0.207,9,0,22.4,0.531,0.068,0.455,10.3,27.9,19,17.1,2.2,3,14.8,31.9,15.3,20.2,35.5,0.114,0,1.8,2.5,16.8
Robert Covington,190,144,28,4,10.3,0.388,2.2,6.4,0.352,1.7,3.9,0.448,0.497,2.1,2.6,0.806,1,4.3,5.4,1.4,1.5,0.6,1.9,3,12.3,17.7,0.377,0.215,0.098,0.026,0.038,0.623,0.587,0.257,0.275,0.27,0.608,0.017,25,0.932,0.146,0.362,5,1,13.3,0.54,0.623,0.257,3.9,17.4,10.4,8.8,2.7,1.6,14.2,20.8,1,6.5,7.5,0.068,0,0.4,0.2,2.9
Allen Crabbe,200,24,22,2.9,6.5,0.451,1.2,2.9,0.399,1.8,3.6,0.493,0.54,1,1.1,0.859,0.2,2,2.2,1.1,0.6,0.2,0.6,2,8,17.3,0.555,0.149,0.077,0.088,0.243,0.445,0.699,0.364,0.447,0.424,0.785,0.02,22,0.965,0.307,0.412,1,0,11.1,0.571,0.445,0.175,1.2,9.8,5.5,7.1,1.3,0.7,8.4,15.2,5.4,2.4,7.9,0.086,0,-1,-1.1,1
Jamal Crawford,1153,433,30.7,5.3,13,0.41,1.7,5,0.349,3.6,8,0.448,0.476,3,3.5,0.861,0.4,2,2.4,3.5,0.9,0.2,1.9,1.6,15.4,17,0.617,0.138,0.11,0.111,0.257,0.383,0.552,0.417,0.408,0.422,0.294,0.007,95,0.756,0.26,0.384,68,4,15.4,0.529,0.383,0.265,1.4,7.4,4.4,19.7,1.6,0.5,11.8,24.2,40.3,17.6,57.9,0.079,0,-2.3,-0.8,10.8
Jae Crowder,355,158,22.5,3,6.9,0.435,1.1,3.3,0.343,1.9,3.7,0.516,0.516,1.4,1.7,0.793,0.7,2.9,3.6,1.3,1,0.3,0.7,1.9,8.5,16.2,0.528,0.241,0.068,0.061,0.157,0.472,0.697,0.304,0.383,0.38,0.697,0.024,56,0.95,0.258,0.41,8,0,13.8,0.554,0.472,0.252,3.4,14.3,8.8,8.9,2.3,1.1,8.9,16.5,10.1,9.3,19.4,0.116,0,0.7,1.3,6.7
Dante Cunningham,552,139,21.2,2.6,5.6,0.467,0.2,0.6,0.302,2.5,5.1,0.486,0.482,0.6,0.9,0.651,1.2,2.6,3.8,0.7,0.7,0.5,0.5,1.8,6,13.4,0.897,0.258,0.093,0.105,0.442,0.103,0.691,0.363,0.399,0.412,0.841,0.057,162,1,0.564,0.348,11,0,11.3,0.499,0.103,0.157,6.3,14.2,10.1,5.2,1.7,1.9,7.9,13.9,7.3,11.5,18.8,0.077,0,0.9,-1.2,2.5
Seth Curry,96,29,21.3,3.3,7.1,0.461,1.4,3.3,0.431,1.9,3.8,0.486,0.561,0.9,1.2,0.811,0.3,1.6,1.9,2,0.8,0.1,1,1.4,8.9,17.3,0.535,0.127,0.13,0.079,0.199,0.465,0.644,0.494,0.5,0.375,0.292,0,0,0.774,0.217,0.536,2,0,14.4,0.585,0.465,0.162,1.6,8.8,5,15.3,2,0.4,11.4,18.5,2.7,1.4,4.1,0.097,0,-1,0.1,1.1
Stephen Curry,546,540,34.7,8,16.7,0.477,3.3,7.5,0.441,4.7,9.2,0.507,0.576,3.4,3.8,0.904,0.7,3.7,4.3,6.8,1.8,0.2,3.2,2.5,22.7,17.6,0.551,0.172,0.092,0.08,0.207,0.449,0.644,0.409,0.448,0.459,0.301,0.003,21,0.608,0.144,0.518,52,3,23.3,0.617,0.449,0.229,2.2,11.3,6.8,32.3,2.5,0.4,14.7,27.1,59.1,20.9,79.9,0.202,0,-0.5,6.2,39.5
Troy Daniels,135,4,12.2,2.1,5.1,0.413,1.5,3.5,0.414,0.6,1.5,0.411,0.557,0.4,0.5,0.79,0.2,0.9,1.1,0.5,0.2,0,0.5,1.1,6,22,0.305,0.051,0.042,0.044,0.165,0.695,0.4,0.379,0.267,0.46,0.709,0,0,0.838,0.179,0.506,1,0,12.4,0.57,0.695,0.091,1.6,8.2,4.9,7.7,1,0.3,9.3,21.4,1.5,1.1,2.7,0.077,0,-3.5,-2.6,-0.2
Anthony Davis,309,304,34.3,8.3,16.2,0.513,0.2,0.7,0.286,8.1,15.5,0.523,0.519,5,6.4,0.783,2.6,7.5,10.1,1.8,1.3,2.4,1.7,2.5,21.8,9.4,0.957,0.35,0.197,0.171,0.241,0.043,0.708,0.434,0.432,0.392,0.698,0.143,650,0.967,0.183,0.231,6,0,26.5,0.574,0.043,0.397,8.4,25,16.6,9.5,2,5.7,8.4,27.3,28.8,15.9,44.7,0.203,0,2.2,4.2,16.5
Deyonta Davis,25,0,7.3,0.8,1.6,0.513,0,0,0,0.8,1.6,0.513,0.513,0.3,0.6,0.533,0.7,1.4,2,0.1,0,0.6,0.3,1.2,1.9,4.9,1,0.667,0.128,0.026,0.179,0,0.615,0.6,0,0.143,0.7,0.282,10,0,0,0,0,0,10.9,0.526,0,0.385,10.3,21.6,15.8,1.7,0.3,7.3,14.9,13.3,0.1,0.3,0.4,0.096,0,2,-3.8,-0.1
Ed Davis,478,93,20.9,2.8,5,0.562,0,0,0,2.8,5,0.562,0.562,1.1,2,0.572,2.3,4.1,6.4,0.8,0.5,0.9,0.8,2.5,6.8,4.5,1,0.572,0.27,0.12,0.038,0,0.678,0.433,0.384,0.297,0.663,0.157,341,0,0,0,1,0,16.8,0.575,0,0.394,12.2,22.7,17.4,6.3,1.3,3.6,11.7,14.5,18.5,11.8,30.3,0.146,0,1.6,1.2,7.9
Dewayne Dedmon,194,49,13.9,1.7,3,0.558,0,0,0,1.7,3,0.559,0.558,0.8,1.2,0.67,1.5,3.3,4.8,0.3,0.4,0.8,0.7,2.2,4.1,4,0.998,0.631,0.244,0.064,0.059,0.002,0.657,0.383,0.432,0.382,0.683,0.256,125,0,0,0,0,0,14.9,0.589,0.002,0.404,12.1,26.6,19.4,2.9,1.3,4.7,15.9,13.5,3.6,4.4,7.9,0.142,0,1.4,-1.6,0.3
Sam Dekker,58,1,18.6,2.8,5.9,0.474,0.9,2.6,0.338,1.9,3.3,0.581,0.548,0.5,0.9,0.585,1.3,2.4,3.7,1,0.6,0.3,0.6,1.2,7,12.9,0.558,0.427,0.102,0.012,0.023,0.442,0.651,0.314,0.25,0.5,0.721,0.117,34,0.961,0.331,0.44,3,0,13.8,0.556,0.442,0.155,7.6,14.6,11.1,8.1,1.5,1.3,9,15.9,1.5,1,2.5,0.113,0,-0.5,-0.5,0.4
Malcolm Delaney,53,0,17.8,2.3,5.8,0.397,0.4,1.6,0.267,1.8,4.1,0.447,0.434,1,1.3,0.794,0.2,1.7,1.8,2.8,0.6,0,1.4,1.5,6,17.6,0.718,0.121,0.059,0.066,0.472,0.282,0.459,0.389,0.3,0.465,0.235,0.003,1,0.913,0.291,0.24,1,0,8.6,0.476,0.282,0.223,0.9,10.4,5.7,23.2,1.6,0.1,18.3,18.9,-0.6,0.9,0.3,0.014,0,-1.2,-5.2,-0.8
Matthew Dellavedova,261,70,22,2.2,5.5,0.395,1,2.6,0.39,1.1,2.9,0.399,0.488,0.7,0.8,0.821,0.4,1.5,2,3.7,0.5,0.1,1.2,2.1,6.1,16.5,0.521,0.102,0.221,0.119,0.08,0.479,0.483,0.376,0.345,0.435,0.34,0,0,0.855,0.228,0.42,2,0,10.3,0.515,0.479,0.147,2.3,7.8,5,24.5,1.2,0.2,17.4,14.6,5.4,3.4,8.7,0.073,0,-1.9,-2.6,-0.8
Luol Deng,874,825,34.8,5.8,12.7,0.456,0.7,2.2,0.333,5.1,10.5,0.481,0.484,2.8,3.6,0.77,1.6,4.5,6.2,2.3,1,0.5,1.6,1.7,15.1,12.3,0.826,0.311,0.127,0.091,0.297,0.174,0.641,0.393,0.341,0.395,0.638,0.037,395,0.958,0.417,0.373,22,1,15.5,0.528,0.174,0.282,5.4,14.6,10.1,11.3,1.5,1.1,10.3,20.7,34.5,38.9,73.4,0.116,0,0.7,1,22.7
DeMar DeRozan,568,556,34,6.7,15.1,0.446,0.4,1.4,0.282,6.3,13.7,0.462,0.459,5.1,6.1,0.827,0.8,3.3,4,2.7,1,0.3,1.9,2.3,18.9,12.3,0.908,0.222,0.171,0.194,0.321,0.092,0.639,0.435,0.419,0.38,0.453,0.041,322,0.851,0.412,0.383,14,0,17,0.532,0.092,0.406,2.6,11.2,6.9,14.3,1.5,0.7,9.6,26.4,29.5,11.8,41.2,0.102,0,-1.4,-1,4.7
Cheick Diallo,9,0,10.4,1.9,4.3,0.436,0,0,0,1.9,4.3,0.436,0.436,0.8,1.1,0.7,1.3,2.2,3.6,0.3,0.3,0.3,0.2,1,4.6,10.3,1,0.231,0.179,0.359,0.231,0,0.667,0.286,0.286,0.556,0.647,0.077,3,0,0,0,0,0,16.9,0.472,0,0.256,13.1,22.6,17.8,5.2,1.6,2.6,4.4,21.4,0.1,0.1,0.2,0.103,0,-0.7,-4.5,-0.1
Boris Diaw,1035,552,27.3,3.6,7.3,0.494,0.5,1.3,0.339,3.2,6,0.529,0.525,1,1.4,0.718,1.2,3.2,4.4,3.5,0.6,0.5,1.8,2.2,8.7,10.7,0.817,0.361,0.188,0.076,0.192,0.183,0.647,0.479,0.355,0.425,0.575,0.02,140,0.977,0.166,0.333,13,0,12.9,0.548,0.183,0.191,5.2,13.3,9.3,19.6,1.2,1.3,18.5,16.3,23.2,27.9,51.1,0.087,0,1.1,0.7,19.5
Gorgui Dieng,268,156,25.8,3.4,6.6,0.517,0.1,0.2,0.32,3.3,6.4,0.523,0.522,2,2.6,0.778,2.3,4.9,7.1,1.6,0.9,1.2,1.5,2.6,8.8,8.2,0.972,0.395,0.215,0.162,0.199,0.028,0.655,0.392,0.505,0.417,0.702,0.109,175,1,0.58,0.414,4,0,16.4,0.575,0.028,0.389,9.8,21.9,15.8,9.6,1.8,3.9,16,15.7,9.7,7.1,16.7,0.116,0,2.4,2,6.9
Spencer Dinwiddie,76,14,16.4,1.7,4.8,0.359,0.4,1.5,0.246,1.4,3.3,0.409,0.397,1.4,1.7,0.786,0.3,1.6,1.9,2.7,0.5,0.2,1,1.8,5.2,13.3,0.69,0.269,0.179,0.12,0.122,0.31,0.525,0.273,0.318,0.467,0.163,0.011,4,0.429,0.114,0.462,2,0,10,0.464,0.31,0.356,1.6,10.6,6,24.6,1.4,1.1,15.3,17.6,0.1,0.8,0.9,0.034,0,-1.2,-3.8,-0.6
Toney Douglas,381,65,19.2,2.8,6.9,0.405,1.2,3.2,0.359,1.6,3.7,0.446,0.489,1,1.2,0.825,0.5,1.7,2.2,2.2,0.9,0.1,1.1,2,7.7,16.3,0.534,0.209,0.108,0.091,0.126,0.466,0.589,0.351,0.342,0.365,0.361,0.001,3,0.719,0.231,0.411,10,1,13.3,0.52,0.466,0.169,3.2,10.1,6.6,18.4,2.4,0.3,12.4,19.8,6.4,5.5,11.9,0.078,0,-1.3,-0.6,2.6
Goran Dragic,619,383,27.4,4.8,10.2,0.472,1.1,2.9,0.364,3.7,7.3,0.516,0.524,2.3,3.1,0.752,0.7,2.2,2.9,4.8,1,0.2,2.3,2.3,13,12.5,0.713,0.325,0.121,0.134,0.133,0.287,0.666,0.379,0.396,0.392,0.26,0.007,41,0.659,0.216,0.379,6,0,17.2,0.563,0.287,0.303,3.1,8.9,6,28.5,1.9,0.5,16.3,22.5,28.9,12.3,41.2,0.117,0,-1.1,1.3,14.2
