Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
Noah Vonleh,149,70,13.6,1.4,3.4,0.414,0.2,0.5,0.291,1.2,2.8,0.436,0.436,0.5,0.8,0.669,1.2,2.7,3.9,0.3,0.3,0.3,0.6,1.7,3.5,9.1,0.842,0.42,0.214,0.054,0.154,0.158,0.543,0.308,0.37,0.351,0.538,0.11,50,0.913,0.241,0.211,0,0,9.2,0.467,0.157,0.235,9.8,21.6,15.6,3.2,1.1,2,14.7,14.1,-0.2,2,1.8,0.042,0,-0.5,-5,-1.5
Nikola Vucevic,376,315,29.9,6.5,12.8,0.507,0.1,0.2,0.276,6.4,12.6,0.51,0.509,1.5,2,0.715,2.9,7,9.8,2,0.8,0.9,1.7,2.7,14.5,9.2,0.984,0.316,0.256,0.153,0.259,0.016,0.636,0.456,0.454,0.441,0.638,0.047,196,0.952,0.105,0.25,1,0,19.3,0.529,0.016,0.159,10.6,26.4,18.4,11.9,1.4,2.4,11.1,23.3,12.6,14.3,26.9,0.115,0,1.2,0.7,7.6
Sasha Vujacic,567,56,15.4,1.9,4.7,0.393,0.9,2.5,0.369,0.9,2.2,0.419,0.49,0.7,0.8,0.864,0.3,1.5,1.9,1.3,0.6,0.1,0.6,1.5,5.4,20,0.474,0.105,0.019,0.049,0.3,0.526,0.511,0.192,0.311,0.419,0.69,0.003,7,0.929,0.244,0.388,16,0,11.6,0.525,0.526,0.175,2.6,11.3,7,12.6,2,0.3,10,16.6,8.2,7.9,16,0.088,0,-1.1,-1,2.1
Dwyane Wade,902,891,35.5,8.5,17.5,0.485,0.5,1.6,0.287,8,15.9,0.505,0.498,6,7.8,0.768,1.3,3.6,4.8,5.7,1.7,0.9,3.3,2.3,23.4,10.4,0.907,0.353,0.156,0.137,0.26,0.093,0.657,0.46,0.387,0.389,0.324,0.072,1053,0.384,0.157,0.315,39,3,24.5,0.559,0.093,0.443,4.3,11.6,8,31.1,2.5,2,13.7,31.9,74,43,117,0.176,0,1,5.2,57.8
Dion Waiters,321,139,28.6,5,12.2,0.412,1.1,3.4,0.341,3.9,8.9,0.439,0.459,1.9,2.7,0.702,0.4,2.2,2.6,2.6,1,0.3,1.8,2,13.1,13.4,0.726,0.317,0.085,0.069,0.253,0.274,0.518,0.301,0.401,0.397,0.325,0.028,95,0.845,0.306,0.368,3,0,12.1,0.489,0.274,0.221,1.8,8.5,5.1,15.2,1.8,0.7,11.8,23.4,0.2,6.5,6.7,0.035,0,-1.5,-2.6,-1.3
Kemba Walker,416,371,33.7,6.3,15.4,0.409,1.7,4.8,0.345,4.6,10.5,0.439,0.463,3.7,4.5,0.825,0.6,3.3,3.9,5.4,1.4,0.4,2.1,1.6,18,14.5,0.686,0.263,0.095,0.114,0.213,0.314,0.547,0.334,0.375,0.385,0.23,0.001,5,0.615,0.08,0.366,30,1,18.4,0.518,0.314,0.294,2,11,6.4,28.8,2.1,0.9,10.9,26.3,16.8,12.9,29.7,0.102,0,-0.7,2.1,14.5
John Wall,472,460,36.1,6.8,15.6,0.432,0.8,2.6,0.318,5.9,13,0.455,0.459,4.2,5.3,0.792,0.6,3.9,4.5,9.1,1.7,0.6,3.8,2.3,18.6,12.5,0.834,0.318,0.103,0.113,0.3,0.166,0.617,0.322,0.362,0.364,0.194,0.032,232,0.665,0.147,0.293,23,0,19.3,0.516,0.166,0.34,1.8,12.3,7,42.1,2.4,1.4,17.5,27,17.6,19.9,37.5,0.106,0,0.5,2.4,18.9
Taurean Waller-Prince,31,0,9.7,1.1,2.9,0.374,0.3,1.1,0.273,0.8,1.9,0.431,0.423,0.8,0.9,0.897,0.2,1.6,1.8,0.7,0.3,0.3,0.6,1,3.3,13.3,0.637,0.264,0.165,0.132,0.077,0.363,0.5,0.4,0.333,0.429,0.64,0.033,3,0.778,0.394,0.231,0,0,9.3,0.496,0.363,0.319,2.2,17.7,10.1,10.1,1.6,2.5,16.2,17.9,-0.2,0.4,0.3,0.042,0,0.8,-4,-0.1
TJ Warren,127,38,22.4,4.3,8.9,0.486,0.4,1.3,0.311,3.9,7.7,0.515,0.508,1,1.4,0.749,1.3,1.7,3.1,0.9,0.8,0.3,0.7,2,10.1,10.5,0.858,0.301,0.227,0.183,0.148,0.142,0.686,0.436,0.425,0.399,0.611,0.038,41,0.94,0.522,0.31,6,0,14.5,0.53,0.142,0.154,6.2,8.8,7.5,6.4,1.7,1.1,7,19.5,3.5,1.4,4.9,0.082,0,-1.3,-1.7,0.2
CJ Watson,581,101,20.3,2.6,6.1,0.42,0.8,2.1,0.376,1.8,4,0.443,0.485,1.4,1.8,0.811,0.4,1.6,1.9,2.5,0.9,0.1,1.1,1.5,7.3,16.2,0.653,0.193,0.09,0.082,0.287,0.347,0.562,0.342,0.42,0.402,0.372,0.001,4,0.826,0.313,0.426,15,1,13.2,0.534,0.347,0.29,2,8.7,5.4,18.7,2.3,0.4,13.7,17.4,12.5,11.5,24,0.098,0,-0.6,-0.6,4.2
