Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
2014-15,Marvin Williams,PF,willima02,28,78,2035,11.8,0.541,0.535,0.176,3.1,18.2,10.4,7.8,1.8,1.4,10.1,13.3,1.5,2.9,4.3,0.102,-0.8,1.8,1,1.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/willima02.html,78,2035,0.424,18.5,0.465,0.154,0.087,0.034,0.19,0.535,0.5,0.684,0.349,0.294,0.457,0.358,0.748,0.022,9,0.979,0.264,0.471,1,0
2014-15,Mason Plumlee,C,plumlma01,24,82,1743,18,0.57,0.006,0.648,11.3,21.6,16.5,7,1.9,2.9,14.4,19.2,2.5,2.3,4.8,0.131,-0.5,1.4,0.8,1.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/plumlma01.html,82,1743,0.573,2.6,0.994,0.744,0.233,0.012,0.004,0.006,0.576,0.646,0.377,0.167,0.5,0,0.682,0.243,108,0,0,0,3,0
2014-15,Matt Barnes,SF,barnema02,34,76,2271,11.3,0.574,0.603,0.152,2.6,12.2,7.5,7.2,1.5,1.8,11.6,14.9,2.2,2.1,4.3,0.091,0.9,0.7,1.6,2.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/barnema02.html,76,2271,0.444,16.4,0.397,0.253,0.096,0.014,0.03,0.603,0.569,0.684,0.333,0.444,0.474,0.362,0.723,0.032,18,0.985,0.468,0.375,0,0
2014-15,Matt Bonner,PF,bonnema01,34,72,935,10.1,0.536,0.548,0.161,3.6,10.2,7,7.1,0.5,1,4.3,12.5,1.3,0.9,2.1,0.11,-0.2,-0.7,-0.9,0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bonnema01.html,72,935,0.409,18,0.452,0.048,0.27,0.07,0.07,0.548,0.462,0.727,0.452,0.563,0.188,0.365,0.625,0.004,1,1,0.151,0.368,1,0
2014-15,Matthew Dellavedova,SG,dellama01,24,67,1380,8.5,0.493,0.544,0.124,3.1,7.3,5.2,21.1,0.9,0.1,15.9,12.6,1.4,0.5,1.9,0.067,-0.6,-2,-2.6,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dellama01.html,67,1380,0.362,18,0.456,0.059,0.202,0.121,0.075,0.544,0.307,0.389,0.242,0.351,0.348,0.407,0.326,0,0,0.897,0.323,0.315,0,0
2014-15,Maurice Harkless,SF,harklma01,21,45,674,8.4,0.449,0.354,0.259,6.3,11.6,8.9,5.4,2.4,1.1,13.3,13.7,-0.3,0.6,0.3,0.021,-3.1,0.2,-2.9,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harklma01.html,45,674,0.399,11,0.646,0.494,0.12,0.013,0.019,0.354,0.52,0.59,0.368,0,0,0.179,0.623,0.196,29,1,0.536,0.2,2,0
2014-15,Meyers Leonard,C,leoname01,22,55,847,14.8,0.631,0.457,0.131,5.9,25.3,15.8,5.8,0.6,1.2,13.1,15.8,1.6,1.2,2.8,0.158,0.1,0,0.2,0.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/leoname01.html,55,847,0.51,15.7,0.543,0.212,0.147,0.082,0.102,0.457,0.586,0.731,0.528,0.45,0.48,0.42,0.795,0.102,22,0.936,0.232,0.577,1,0
2014-15,Michael Beasley,SF,beaslmi01,26,24,505,10.6,0.474,0.16,0.123,2.9,17.9,10.6,11.5,1.6,2.2,14.2,24.2,-0.6,0.5,-0.1,-0.007,-4.3,-0.4,-4.7,-0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/beaslmi01.html,24,505,0.434,12.6,0.84,0.208,0.184,0.226,0.222,0.16,0.472,0.614,0.513,0.458,0.319,0.235,0.357,0.033,7,1,0.294,0.5,0,0
2014-15,Michael Carter-Williams,PG,cartemi01,23,44,1432.666667,14.4,0.467,0.154,0.323,3.2,14.76666667,8.8,36.33333333,2.733333333,1.133333333,19.26666667,26.53333333,-1.4,1.933333333,0.533333333,0.026666667,-1.5,0.966666667,-0.533333333,0.466666667,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/cartemi01.html,25,758,0.429,9,0.909,0.364,0.247,0.136,0.162,0.091,0.457,0.545,0.408,0.524,0.28,0.143,0.195,0.045,12,1,0.286,0.25,1,0
2014-15,Michael Kidd-Gilchrist,SF,kiddgmi01,21,55,1587,15.1,0.519,0,0.444,7.4,21.9,14.4,8.2,1,1.9,9.9,18.4,1.6,2.2,3.8,0.114,-2.2,1.3,-0.8,0.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/kiddgmi01.html,55,1587,0.465,8,1,0.477,0.156,0.071,0.297,0,0.465,0.578,0.28,0.5,0.371,0,0.714,0.056,26,0,0,0,0,0
2014-15,Mike Conley,PG,conlemi01,27,70,2225,18.6,0.558,0.314,0.282,1.5,9.2,5.4,28,2.1,0.5,13.6,23.7,4.2,2.7,6.8,0.147,3.2,-0.5,2.7,2.6,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/conlemi01.html,70,2225,0.446,13.5,0.686,0.276,0.169,0.1,0.142,0.314,0.473,0.588,0.43,0.398,0.352,0.386,0.241,0,0,0.72,0.159,0.432,3,0
2014-15,Mike Dunleavy,SF,dunlemi02,34,63,1838,11.6,0.573,0.547,0.181,1.7,12.7,7.3,9.7,1.1,0.8,10.4,14.2,2.4,1.7,4.1,0.108,0.6,-0.2,0.4,1.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dunlemi02.html,63,1838,0.435,18.5,0.453,0.17,0.064,0.031,0.185,0.547,0.468,0.573,0.323,0.267,0.461,0.407,0.765,0.004,1,0.963,0.186,0.449,2,1
2014-15,Mike Miller,SF,millemi01,34,52,701,4.6,0.471,0.86,0.035,0.7,14,7.4,9,1,0.5,16.6,8.9,-0.1,0.5,0.4,0.028,-2.6,-0.3,-3,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/millemi01.html,52,701,0.325,23.8,0.14,0.018,0.018,0.044,0.061,0.86,0.313,1,0.5,0,0.286,0.327,0.2,0,0,1,0.347,0.353,0,0
2014-15,Mike Muscala,PF,muscami01,23,40,502,18,0.608,0.146,0.166,12.2,14.8,13.5,8,1.6,3.2,11.5,16.7,1.2,0.7,1.9,0.179,0.8,0.9,1.7,0.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/muscami01.html,40,502,0.55,10.5,0.854,0.364,0.139,0.126,0.225,0.146,0.574,0.673,0.429,0.632,0.471,0.409,0.73,0.106,13,1,0.409,0.444,0,0
2014-15,Mike Scott,PF,scottmi01,26,68,1123,15.1,0.543,0.424,0.17,4.7,15.2,10.1,10.9,1.1,0.2,7.4,21.4,1.6,1.1,2.7,0.115,0.6,-2.1,-1.6,0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/scottmi01.html,68,1123,0.444,15.6,0.576,0.183,0.166,0.117,0.11,0.424,0.517,0.699,0.427,0.415,0.46,0.344,0.881,0.038,15,1,0.198,0.421,2,0
2014-15,Miles Plumlee,C,plumlmi01,26,48.66666667,796,13.83333333,0.524666667,0,0.170666667,10.33333333,18.8,14.53333333,4.7,1.666666667,4.466666667,14,13.16666667,0.6,1.133333333,1.7,0.104,-2.933333333,2.3,-0.6,0.333333333,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/plumlmi01.html,19,189,0.492,3,1,0.644,0.271,0.085,0,0,0.492,0.605,0.313,0.2,0,0,0.828,0.22,10,0,0,0,0,0
2014-15,Miroslav Raduljica,C,radulmi01,27,5,23,3.3,0.45,0,0.25,9.7,15.4,12.4,0,2.2,0,18.4,20.9,0,0,0,-0.057,-8.2,-6.2,-14.4,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/radulmi01.html,5,23,0.375,4.8,1,0.25,0.625,0.125,0,0,0.375,0.5,0.4,0,0,0,1,0,0,0,0,0,0,0
2014-15,Mirza Teletovic,PF,teletmi01,29,40,892,10.7,0.5,0.605,0.144,3.4,20.9,12.2,8.1,0.8,1.4,13.5,20.1,-0.3,0.8,0.5,0.026,-1.4,-1.1,-2.6,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/teletmi01.html,40,892,0.382,18,0.395,0.201,0.103,0.022,0.072,0.605,0.476,0.531,0.424,0.286,0.435,0.321,0.633,0.016,5,0.984,0.083,0.625,1,0
2014-15,Mitch McGary,PF,mcgarmi01,22,32,485,16.6,0.55,0.012,0.242,11.9,24.4,18.2,4.6,1.7,2.6,14.5,19,0.6,0.7,1.3,0.127,-2.3,-0.1,-2.4,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mcgarmi01.html,32,485,0.533,5.5,0.988,0.558,0.206,0.152,0.073,0.012,0.54,0.685,0.353,0.4,0.25,0,0.739,0.097,14,0,0.5,0,0,0
