Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jabari Parker,PF,parkeja01,21.0,51.0,1728.0,19.0,0.563,0.219,0.268,5.4,15.2,10.4,13.9,1.5,1.1,9.2,26.1,2.8,1.3,4.1,0.114,1.7,-1.5,0.2,1.0
Jae Crowder,SF,crowdja01,26.0,47.0,1527.0,15.3,0.622,0.559,0.254,2.2,15.9,9.1,9.9,1.6,0.9,8.3,16.6,3.0,1.4,4.4,0.139,2.0,-0.1,1.9,1.5
Jahlil Okafor,C,okafoja01,21.0,38.0,874.0,14.9,0.535,0.0,0.344,7.8,15.2,11.5,8.2,0.8,3.8,11.8,22.9,0.2,0.9,1.1,0.063,-3.2,0.3,-2.9,-0.2
Jake Layman,SF,laymaja01,22.0,24.0,149.0,7.2,0.437,0.679,0.232,1.5,9.0,5.2,6.8,2.0,1.1,7.5,19.6,-0.2,0.1,-0.1,-0.024,-3.1,-3.0,-6.1,-0.2
Jakob Poeltl,C,poeltja01,21.0,32.0,345.0,10.1,0.526,0.0,0.483,13.3,15.9,14.6,3.6,1.6,2.3,16.6,10.9,0.3,0.4,0.7,0.097,-1.8,0.7,-1.1,0.1
Jamal Crawford,SG,crawfja01,36.0,56.0,1504.0,11.5,0.51,0.365,0.214,1.0,5.9,3.5,16.6,1.4,0.7,13.0,23.2,-0.1,1.0,0.9,0.028,-1.4,-2.0,-3.4,-0.5
Jamal Murray,SG,murraja01,19.0,56.0,1116.0,11.3,0.512,0.484,0.18,3.3,10.9,7.0,12.9,1.2,1.3,13.1,21.1,0.4,0.3,0.7,0.029,-0.7,-2.3,-3.0,-0.3
Jameer Nelson,PG,nelsoja01,34.0,56.0,1473.0,11.2,0.537,0.434,0.099,1.6,8.6,5.1,26.8,1.2,0.3,17.4,16.5,1.5,0.2,1.7,0.054,0.2,-2.8,-2.6,-0.2
James Ennis,SF,ennisja01,26.0,44.0,1118.0,11.2,0.608,0.43,0.347,5.7,13.4,9.5,6.1,1.6,1.3,14.7,13.2,1.3,1.4,2.7,0.116,-0.4,1.2,0.8,0.8
James Harden,PG,hardeja01,27.0,58.0,2123.0,27.6,0.615,0.48,0.581,3.6,21.4,12.5,50.7,1.9,1.0,19.7,34.5,8.5,2.7,11.2,0.254,8.7,1.5,10.2,6.5
James Johnson,PF,johnsja01,29.0,52.0,1381.0,16.6,0.576,0.346,0.281,3.6,16.9,10.2,19.8,1.7,3.2,17.5,21.5,1.2,2.0,3.2,0.111,0.4,2.1,2.5,1.6
James Jones,SF,jonesja02,36.0,35.0,239.0,13.5,0.737,0.746,0.237,0.9,9.0,5.1,4.2,0.6,2.4,9.7,13.2,0.5,0.2,0.7,0.141,1.4,-1.6,-0.2,0.1
James Michael McAdoo,PF,mcadoja01,24.0,29.0,265.0,11.5,0.569,0.046,0.246,6.3,12.0,9.3,5.4,1.3,4.5,14.3,13.6,0.1,0.4,0.5,0.096,-3.1,1.8,-1.3,0.0
James Young,SG,youngja01,21.0,20.0,154.0,13.1,0.608,0.488,0.163,4.4,11.7,8.0,3.9,1.6,0.5,4.2,14.0,0.3,0.1,0.4,0.118,-0.3,-2.1,-2.4,0.0
Jared Dudley,PF,dudleja01,31.0,40.0,828.0,11.4,0.617,0.567,0.197,2.6,15.5,8.8,11.2,1.4,0.9,16.0,13.7,1.0,0.4,1.4,0.082,0.3,-0.3,0.0,0.4
Jared Sullinger,PF,sullija01,24.0,11.0,118.0,5.6,0.359,0.375,0.167,9.5,16.4,12.9,3.7,1.7,0.7,7.2,20.9,-0.2,0.1,-0.1,-0.046,-5.1,-2.9,-8.0,-0.2
Jarell Martin,PF,martija01,22.0,40.0,538.0,7.8,0.469,0.181,0.333,7.6,25.6,16.4,2.0,1.4,1.4,14.1,16.1,-0.3,0.9,0.6,0.051,-6.3,-0.6,-6.9,-0.7
Jarnell Stokes,PF,stokeja01,23.0,2.0,7.0,31.6,0.798,0.0,2.0,15.7,16.1,15.9,40.9,7.0,0.0,0.0,11.3,0.1,0.0,0.1,0.47,11.9,3.4,15.3,0.0
Jason Smith,C,smithja02,30.0,53.0,710.0,12.5,0.574,0.098,0.168,8.4,18.8,13.7,3.7,1.0,4.4,15.5,16.9,0.4,1.0,1.4,0.093,-3.3,0.6,-2.7,-0.1
Jason Terry,SG,terryja01,39.0,47.0,804.0,8.5,0.575,0.729,0.114,1.5,6.3,3.9,10.8,1.6,1.5,12.5,9.4,0.7,0.4,1.1,0.065,-0.6,-1.0,-1.6,0.1
Jaylen Brown,SF,brownja02,20.0,53.0,821.0,9.6,0.514,0.271,0.337,3.8,14.8,9.3,6.1,1.3,1.3,11.2,18.0,0.0,0.7,0.7,0.042,-3.8,-1.2,-5.0,-0.6
Jeff Green,SF,greenje02,30.0,56.0,1301.0,10.0,0.5,0.351,0.3,2.6,12.0,7.2,7.7,1.1,0.7,11.0,20.3,-0.3,0.8,0.5,0.017,-3.0,-1.7,-4.7,-0.9
Jeff Teague,PG,teaguje01,28.0,57.0,1856.0,19.6,0.576,0.252,0.471,1.5,12.6,7.2,37.8,2.1,1.2,17.3,22.2,3.8,1.7,5.6,0.144,2.4,-0.3,2.1,1.9
Jeff Withey,C,witheje01,26.0,32.0,252.0,17.9,0.588,0.019,0.519,12.8,19.5,16.2,1.2,1.9,7.1,11.9,14.0,0.5,0.6,1.0,0.198,-2.5,3.2,0.7,0.2
Jerami Grant,SF,grantje01,22.0,37.3333333333,792.666666667,8.03333333333,0.502333333333,0.261333333333,0.464333333333,1.63333333333,14.2333333333,7.93333333333,2.73333333333,0.7,5.46666666667,10.2333333333,16.3333333333,0.566666666667,0.933333333333,1.5,0.017,-6.6,-0.0666666666667,-6.66666666667,-0.0333333333333
Jeremy Lamb,SG,lambje01,24.0,36.0,617.0,16.5,0.531,0.305,0.297,3.2,24.3,13.8,11.2,1.0,1.7,6.5,24.4,0.6,0.8,1.4,0.107,-1.3,-0.9,-2.2,0.0
Jeremy Lin,PG,linje01,28.0,12.0,300.0,19.8,0.564,0.369,0.315,0.7,12.9,6.9,40.2,2.5,1.8,17.8,25.6,0.4,0.3,0.6,0.098,1.7,-0.7,1.0,0.2
