,Player_ID,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_ID1,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
42,jamesbe01,92.0,13.0,8.3,0.8,1.7,0.497,0.0,0.0,0.0,0.8,1.6,0.507,0.497,0.6,0.8,0.68,0.9,1.4,2.3,0.1,0.2,0.7,0.4,1.1,2.2,jamesbe01,92.0,761.0,0.497,3.6,0.98,0.725,0.216,0.026,0.013,0.02,0.507,0.595,0.303,0.0,0.0,0.0,0.711,0.144,19.0,0.0,0.333,0.0,2.0,0.0
43,biyombi01,424.0,181.0,21.5,1.8,3.5,0.511,0.0,0.0,0.0,1.8,3.5,0.512,0.511,1.2,2.2,0.548,2.0,4.5,6.6,0.4,0.3,1.5,0.9,2.3,4.8,biyombi01,424.0,9107.0,0.511,3.8,0.999,0.606,0.284,0.084,0.027,0.001,0.512,0.642,0.315,0.336,0.2,0.0,0.708,0.225,302.0,0.0,0.0,0.0,0.0,0.0
44,griffbl01,447.0,447.0,35.2,8.3,16.1,0.518,0.1,0.4,0.28,8.2,15.7,0.525,0.522,4.7,7.0,0.668,2.5,7.0,9.5,4.1,1.0,0.6,2.5,3.0,21.5,griffbl01,447.0,15724.0,0.518,8.8,0.973,0.381,0.239,0.081,0.271,0.027,0.525,0.728,0.424,0.342,0.381,0.28,0.641,0.145,947.0,0.889,0.269,0.308,9.0,0.0
45,marjabo01,77.0,4.0,8.7,1.8,3.1,0.566,0.0,0.0,0.0,1.8,3.1,0.566,0.566,1.4,1.8,0.766,1.3,2.2,3.5,0.3,0.2,0.4,0.5,0.8,5.0,marjabo01,77.0,667.0,0.566,4.8,1.0,0.442,0.397,0.132,0.029,0.0,0.566,0.72,0.469,0.344,0.571,0.0,0.642,0.165,36.0,0.0,0.0,0.0,0.0,0.0
46,brownbo02,131.0,2.0,11.5,1.8,4.8,0.378,0.6,1.9,0.309,1.2,2.9,0.422,0.438,0.4,0.4,0.81,0.2,0.5,0.7,1.6,0.3,0.0,0.8,1.1,4.5,brownbo02,131.0,1504.0,0.378,17.2,0.612,0.188,0.083,0.061,0.281,0.388,0.422,0.5,0.404,0.289,0.403,0.309,0.265,0.021,11.0,0.72,0.148,0.333,8.0,0.0
47,portibo01,101.0,5.0,15.6,2.6,5.9,0.44,0.3,0.9,0.33,2.3,5.0,0.459,0.464,0.7,1.0,0.704,1.6,3.0,4.6,0.7,0.3,0.3,0.8,1.5,6.1,portibo01,101.0,1574.0,0.44,11.1,0.851,0.316,0.188,0.112,0.234,0.149,0.459,0.604,0.423,0.258,0.391,0.33,0.606,0.068,34.0,0.966,0.295,0.308,2.0,0.0
48,bogdabo02,212.0,121.0,25.7,4.0,9.1,0.441,1.5,4.1,0.366,2.5,5.0,0.502,0.524,1.6,1.9,0.847,0.5,2.6,3.1,1.2,0.4,0.1,1.3,1.5,11.2,bogdabo02,212.0,5451.0,0.441,14.5,0.55,0.28,0.124,0.077,0.069,0.45,0.502,0.635,0.369,0.322,0.398,0.366,0.572,0.026,46.0,0.922,0.362,0.435,0.0,0.0
49,diawbo01,1039.0,552.0,27.3,3.6,7.3,0.494,0.5,1.3,0.338,3.2,6.0,0.529,0.525,1.0,1.4,0.718,1.2,3.2,4.4,3.5,0.6,0.5,1.8,2.2,8.7,diawbo01,1039.0,28357.0,0.494,10.7,0.817,0.361,0.188,0.076,0.192,0.183,0.529,0.647,0.479,0.355,0.425,0.338,0.574,0.02,140.0,0.977,0.167,0.332,13.0,0.0
50,bealbr01,298.0,264.0,33.0,6.3,14.5,0.435,2.0,5.0,0.398,4.4,9.6,0.454,0.503,2.4,3.1,0.788,0.8,2.8,3.6,3.1,1.0,0.3,1.9,2.1,17.1,bealbr01,298.0,9847.0,0.435,15.9,0.659,0.197,0.089,0.109,0.264,0.341,0.454,0.628,0.384,0.378,0.38,0.398,0.517,0.03,122.0,0.861,0.248,0.422,4.0,0.0
51,wrighbr03,380.0,56.0,16.4,3.0,5.0,0.607,0.0,0.0,0.0,3.0,5.0,0.611,0.607,1.0,1.5,0.675,1.4,2.3,3.7,0.5,0.5,1.0,0.5,1.3,7.1,wrighbr03,380.0,6232.0,0.607,4.8,0.994,0.526,0.322,0.11,0.035,0.006,0.611,0.743,0.48,0.435,0.373,0.0,0.783,0.213,381.0,0.0,0.083,0.0,4.0,0.0
