X1,X2,labels,Player,Status,Player_ID,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
-0.587339243,-1.358408063,3-and-D Wings,Brandon Rush,Active,rushbr01,102,109,10.1,0.535,0.448,0.145,2,13,7.5,6.6,1.1,1.9,11.6,14.8,3.1,7.9,11,0.053,-1.6,-0.1,-1.7,0.7
2.928155493,1.029213743,Defensive Centers,Brendan Haywood,Inactive,haywobr01,112,106,14.6,0.555,0.001,0.562,12.6,17.5,15,3.8,0.9,4.6,14.6,14.2,24.7,19.1,43.8,0.113,-1.4,1.2,-0.2,8.4
-3.223102661,1.401981229,Combo Guards,Brian Roberts,Active,roberbr01,107,111,13.3,0.517,0.331,0.203,1.3,8.1,4.6,23,1.3,0.3,11.8,20,5.4,2,7.4,0.071,0,-2.9,-2.9,-1.1
2.822578987,0.414119914,Offensive Centers,Brook Lopez,Active,lopezbr01,111,109,21.1,0.566,0.039,0.353,9.4,16.3,12.8,9,0.9,4.2,11,25.9,33.4,15,48.3,0.133,0.8,0.1,0.9,12.8
-1.17040888,-0.761355951,Shooting Wings,Buddy Hield,Active,hieldbu01,97,111,10.2,0.506,0.506,0.075,1.7,13.7,7.6,10.4,0.8,0.5,9,20.4,-0.4,0.9,0.5,0.02,-1.9,-1.9,-3.8,-0.5
-2.318714575,-0.033472775,Scoring Wings,C.J. McCollum,Active,mccolcj01,108,110,17.2,0.557,0.342,0.183,2,8.6,5.3,17.9,1.7,0.9,11.3,25.9,9.2,4,13.2,0.103,2.1,-1.8,0.3,3.5
-0.5555976,-1.315720666,3-and-D Wings,C.J. Miles,Active,milescj01,105,108,13.3,0.531,0.455,0.196,2.6,11,6.8,9,1.8,1.2,9.2,21.9,11.7,13,24.8,0.083,0.5,-1.5,-1,3.8
-2.917598584,-0.058689535,Scoring Wings,C.J. Watson,Active,watsocj01,108,107,13.2,0.535,0.347,0.289,2,8.7,5.4,18.7,2.4,0.4,13.8,17.5,12.5,11.6,24,0.097,0,-0.6,-0.6,4.2
-2.054277905,-1.283396516,Shooting Wings,C.J. Wilcox,Active,wilcocj01,95,108,9.9,0.488,0.446,0.132,1.3,7.7,4.5,11.8,2,0.9,11.1,18.9,-0.1,0.3,0.2,0.029,-2.8,-1.6,-4.4,-0.2
-3.586145995,1.388678248,Combo Guards,Cameron Payne,Active,payneca01,99,107,10.8,0.463,0.4,0.069,1.2,10.8,6.2,21.3,2.2,0.8,12.7,20.2,0.1,1.1,1.2,0.058,-1.8,-1.2,-3.1,-0.3
2.235320764,-0.159149419,Offensive Centers,Carl Landry,Inactive,landrca01,116,108,17.5,0.595,0.008,0.444,9.9,15.1,12.5,5.3,1,1.3,11.5,20.5,25.7,10.2,35.9,0.149,0,-1.1,-1.1,2.6
2.665768222,0.380761799,Offensive Centers,Carlos Boozer,Inactive,boozeca01,108,102,19.5,0.554,0.001,0.281,8.8,26.6,17.7,13.2,1.5,1,12.6,24.3,40.6,39.7,80.3,0.143,0.4,0.8,1.2,22.1
0.086266847,-0.511164026,3-and-D Wings,Carmelo Anthony,Active,anthoca01,108,107,21,0.545,0.175,0.373,5.7,15.1,10.4,16.3,1.5,1,11,31.5,65.1,31.5,96.6,0.133,2.5,-1.2,1.4,29.5
-0.480448705,-0.887885797,3-and-D Wings,Caron Butler,Inactive,butleca01,105,108,15,0.523,0.202,0.278,4.4,13.6,9,12.3,2.2,0.6,11.8,21.7,26.6,24.3,50.9,0.086,0.3,-0.1,0.2,15.9
-0.316406077,-1.575511108,3-and-D Wings,Cartier Martin,Inactive,martica01,101,108,10.1,0.517,0.534,0.189,3,12.9,7.9,5.7,1.5,0.6,9.7,17.7,1.1,2.7,3.7,0.054,-1.5,-1.9,-3.4,-1.2
-0.664006702,-0.915582846,3-and-D Wings,Chandler Parsons,Active,parsoch01,111,107,15.2,0.562,0.386,0.198,3.2,13.5,8.4,14.6,1.6,0.9,11.4,19.1,17.8,10.4,28.2,0.114,1.8,0.4,2.1,12.3
1.632071367,-0.480573755,Versatile Forwards,Channing Frye,Active,fryech01,108,107,13.4,0.542,0.391,0.164,4.8,18.6,11.7,6.8,1.2,2.1,10,18.2,18.9,17.1,36.1,0.095,-0.1,0.1,-0.1,8.9
1.568230323,-0.386732831,Versatile Forwards,Charlie Villanueva,Inactive,villach01,105,109,16,0.52,0.345,0.167,6.7,20.1,13.2,7.2,1.3,2.1,9,24.1,12,10.6,22.6,0.08,0,-1.8,-1.8,0.6
-0.187684073,-1.387937625,3-and-D Wings,Chase Budinger,Inactive,budinch01,108,109,13,0.534,0.424,0.185,3.3,14.5,8.8,9.4,1.4,0.6,9.4,18.3,8.2,5.7,13.9,0.083,-0.1,-1.2,-1.4,1.2
3.064029533,0.500036599,Defensive Centers,Chris Andersen,Active,anderch01,116,102,16.7,0.581,0.027,0.65,11.3,22.1,16.7,4.4,1.3,6.3,13.7,13.9,20.2,19.5,39.7,0.155,-1.5,2.7,1.2,9.8
1.955548165,-0.382521279,Offensive Centers,Chris Bosh,Inactive,boshch01,113,105,20.6,0.571,0.072,0.444,7.2,20.7,14.1,9.9,1.2,2.3,10.7,24.6,68.8,37.2,106,0.159,1,0.4,1.4,27.5
-0.2086035,-0.73468168,3-and-D Wings,Chris Copeland,Inactive,copelch01,102,108,12.4,0.54,0.492,0.174,3.5,11.2,7.3,8.6,0.8,1.1,12.3,22.9,1.2,1.8,2.9,0.067,-0.4,-2.6,-3,-0.5
-1.248146975,-1.126923834,Shooting Wings,Chris Douglas-Roberts,Inactive,douglch01,103,109,11.5,0.528,0.195,0.312,2.1,10.5,6.2,9.8,1.5,1,11.8,17.8,1.7,3.6,5.4,0.059,-2.3,-0.6,-2.9,-1
-0.690981066,-1.734139291,3-and-D Wings,Chris Johnson,Inactive,johnsch04,103,106,9.7,0.514,0.578,0.175,3.5,11.4,7.5,6.3,2,1.1,11.2,14.1,1.1,2.5,3.5,0.074,-1.4,0,-1.3,0.4
3.22371842,1.115740816,Defensive Centers,Chris Kaman,Inactive,kamanch01,98,105,14.9,0.525,0.003,0.257,8.8,23.8,16.4,8.3,0.9,3.6,16.5,21.7,0.4,24.2,24.6,0.06,-3,1,-2,0
