,Status,Player,Pos,Player_ID,url,G,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DPM,BPM,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,FG_100,FGA_100,FG%_100,3P_100,3PA_100,3P%_100,2P_100,2PA_100,2P%_100,FT_100,FTA_100,FT%_100,ORB_100,DRB_100,TRB_100,AST_100,STL_100,BLK_100,TOV_100,PF_100,PTS_100,ORtg,DRtg,Cluster
166,Active,Domantas Sabonis,PF,sabondo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/sabondo01.html,57,6.6,0.472,0.094,3.1,15.9,9.5,7.0,1.2,1.5,15.3,14.9,-4.7,-0.1,-4.9,0.403,12.7,0.648,0.287,0.213,0.051,0.097,0.352,0.452,0.554,0.373,0.278,0.412,0.315,0.631,0.045,1.0,0.282,0.286,5.6,14.0,0.403,1.5,4.9,0.315,4.1,9.0,0.452,0.9,1.3,0.697,1.3,7.1,8.5,2.4,1.2,1.0,2.6,5.7,13.7,91,108,3
167,Inactive,Donald Sloan,PG,sloando01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/sloando01.html,218,11.9,0.491,0.233,1.6,12.1,6.8,27.1,1.1,0.2,16.0,17.3,-1.5,-1.8,-3.2,0.409,12.8,0.712,0.317,0.149,0.07,0.176,0.288,0.449,0.56,0.372,0.338,0.358,0.31,0.222,0.006,0.806,0.209,0.364,6.2,15.1,0.409,1.3,4.3,0.31,4.8,10.7,0.449,2.6,3.5,0.754,0.7,5.5,6.2,8.9,1.1,0.1,3.2,2.6,16.3,102,110,6
168,Active,Donatas Motiejunas,PF,motiedo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/motiedo01.html,235,12.6,0.532,0.265,7.3,15.6,11.5,9.8,1.3,1.4,14.3,19.2,-1.5,-0.3,-1.8,0.474,10.3,0.741,0.266,0.404,0.052,0.019,0.259,0.532,0.646,0.49,0.372,0.286,0.307,0.664,0.025,0.992,0.413,0.319,8.0,16.9,0.474,1.3,4.4,0.307,6.7,12.5,0.532,2.7,4.5,0.606,3.2,7.1,10.4,3.0,1.3,0.9,3.1,5.9,20.0,103,107,7
169,Inactive,Dorell Wright,SF,wrighdo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/wrighdo01.html,549,14.4,0.538,0.211,3.5,16.0,9.7,10.8,1.8,1.7,10.0,17.6,0.1,0.3,0.4,0.424,16.3,0.567,0.214,0.084,0.064,0.205,0.433,0.469,0.656,0.37,0.298,0.368,0.365,0.594,0.058,0.963,0.37,0.398,7.0,16.6,0.424,2.6,7.2,0.365,4.4,9.4,0.469,2.8,3.5,0.806,1.6,7.3,8.9,3.6,1.8,1.1,2.0,3.3,19.5,109,107,1
170,Active,Dorian Finney-Smith,PF,finnedo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/finnedo01.html,55,7.9,0.522,0.221,3.2,11.9,7.3,6.1,1.6,1.3,12.7,11.1,-2.3,1.3,-1.1,0.394,16.8,0.399,0.244,0.07,0.023,0.061,0.601,0.518,0.654,0.4,0.0,0.308,0.313,0.682,0.089,1.0,0.398,0.255,3.8,9.8,0.394,1.8,5.9,0.313,2.0,3.9,0.518,1.6,2.2,0.766,1.5,5.0,6.6,2.2,1.6,0.8,1.6,4.3,11.2,103,110,1
171,Active,Doug McDermott,SF,mcderdo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mcderdo01.html,161,10.7,0.551,0.148,1.9,10.1,6.0,5.3,0.4,0.3,7.9,17.5,-0.8,-2.7,-3.5,0.445,14.8,0.601,0.244,0.12,0.093,0.144,0.399,0.476,0.577,0.385,0.433,0.407,0.399,0.773,0.021,0.983,0.294,0.402,7.7,17.4,0.445,2.8,6.9,0.399,5.0,10.4,0.476,2.2,2.6,0.849,0.9,4.8,5.7,1.7,0.4,0.2,1.6,3.3,20.4,108,112,1
173,Active,Draymond Green,PF,greendr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/greendr01.html,375,15.7,0.534,0.311,5.3,21.6,13.8,20.1,2.5,3.0,17.5,16.6,0.1,4.0,4.2,0.439,12.6,0.635,0.379,0.135,0.044,0.077,0.365,0.496,0.636,0.249,0.32,0.34,0.338,0.665,0.061,0.976,0.121,0.355,5.9,13.5,0.439,1.7,4.9,0.338,4.3,8.6,0.496,2.9,4.2,0.688,2.3,10.2,12.4,7.3,2.5,1.9,3.3,5.1,16.4,109,99,3
174,Inactive,Drew Gooden,PF,goodedr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/goodedr01.html,790,16.3,0.514,0.301,10.6,21.7,16.1,7.6,1.4,1.8,12.1,21.6,-1.5,-0.1,-1.5,0.462,9.5,0.954,0.337,0.207,0.178,0.233,0.046,0.471,0.581,0.417,0.398,0.418,0.257,0.607,0.059,0.955,0.213,0.315,8.9,19.4,0.462,0.2,0.9,0.257,8.7,18.5,0.471,4.4,5.8,0.76,4.9,9.8,14.6,2.3,1.4,1.2,3.0,5.1,22.6,105,104,7
177,Active,Dwight Howard,C,howardw01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/howardw01.html,931,21.8,0.6,0.807,11.9,29.3,20.8,7.4,1.4,4.4,16.9,22.8,-0.2,2.9,2.7,0.584,3.5,0.994,0.585,0.354,0.043,0.012,0.006,0.587,0.718,0.417,0.275,0.333,0.089,0.573,0.262,1.0,0.143,0.375,9.3,15.9,0.584,0.0,0.1,0.089,9.3,15.8,0.587,7.3,12.8,0.567,5.3,13.5,18.7,2.2,1.4,3.0,4.4,4.8,25.9,110,99,0
178,Active,Dwight Powell,C,poweldw01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/poweldw01.html,154,17.5,0.573,0.436,8.8,19.7,14.2,6.9,2.3,2.4,8.6,17.1,-0.7,1.8,1.1,0.51,8.6,0.918,0.48,0.111,0.061,0.264,0.082,0.537,0.722,0.282,0.41,0.339,0.212,0.847,0.152,1.0,0.327,0.235,7.4,14.6,0.51,0.3,1.2,0.212,7.2,13.4,0.537,4.8,6.4,0.752,4.1,8.8,12.9,2.2,2.3,1.4,1.6,6.0,19.9,118,104,7
179,Active,Dwyane Wade,SG,wadedw01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/wadedw01.html,903,24.5,0.559,0.442,4.3,11.6,8.0,31.1,2.5,2.0,13.7,31.9,4.1,1.0,5.2,0.485,10.4,0.907,0.353,0.156,0.137,0.26,0.093,0.505,0.657,0.459,0.387,0.389,0.288,0.323,0.072,0.386,0.158,0.313,12.7,26.1,0.485,0.7,2.4,0.288,12.0,23.7,0.505,8.9,11.5,0.768,1.9,5.3,7.2,8.5,2.5,1.3,4.9,3.4,34.9,110,104,2
180,Active,E'Twaun Moore,SG,mooreet01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mooreet01.html,359,11.1,0.51,0.11,2.3,8.2,5.3,14.3,1.7,1.0,11.7,17.5,-1.5,-0.9,-2.3,0.433,14.6,0.675,0.172,0.2,0.125,0.18,0.325,0.463,0.595,0.498,0.354,0.371,0.372,0.413,0.01,0.903,0.312,0.396,7.2,16.6,0.433,2.0,5.4,0.372,5.2,11.2,0.463,1.4,1.8,0.746,1.1,3.8,4.9,4.6,1.7,0.7,2.3,3.9,17.8,101,109,2
181,Inactive,Earl Barron,C,barroea01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/barroea01.html,140,8.6,0.417,0.263,10.9,18.1,14.5,5.3,1.2,1.2,12.2,20.5,-5.8,-1.6,-7.4,0.371,11.5,0.974,0.291,0.125,0.146,0.412,0.026,0.377,0.46,0.291,0.34,0.357,0.167,0.726,0.022,1.0,0.167,0.333,6.7,18.1,0.371,0.1,0.5,0.167,6.7,17.7,0.377,3.4,4.8,0.702,5.0,8.0,13.0,1.7,1.2,0.8,2.8,7.1,16.9,89,108,7
182,Inactive,Earl Clark,PF,clarkea01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/clarkea01.html,261,10.2,0.465,0.201,6.2,17.9,12.1,5.7,1.2,2.9,12.5,17.4,-4.1,0.5,-3.6,0.403,13.8,0.778,0.269,0.108,0.088,0.313,0.222,0.424,0.601,0.298,0.323,0.344,0.328,0.685,0.077,1.0,0.256,0.281,6.4,16.0,0.403,1.2,3.6,0.328,5.3,12.4,0.424,2.1,3.2,0.664,2.8,8.3,11.1,1.9,1.2,1.9,2.5,4.6,16.2,94,105,3
183,Active,Ed Davis,PF,davised01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/davised01.html,481,16.8,0.575,0.397,12.3,22.7,17.4,6.3,1.3,3.6,11.7,14.6,-0.4,1.6,1.1,0.562,4.5,1.0,0.572,0.271,0.119,0.037,0.0,0.562,0.678,0.432,0.384,0.297,0.0,0.663,0.157,0.0,0.0,0.0,7.1,12.5,0.562,0.0,0.0,0.0,7.1,12.5,0.562,2.8,5.0,0.568,5.7,10.2,15.8,2.1,1.3,2.3,1.9,6.1,16.9,118,105,0
184,Inactive,Ekpe Udoh,PF,udohek01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/u/udohek01.html,270,10.8,0.484,0.37,8.6,12.5,10.5,5.6,1.4,5.4,14.6,12.7,-3.4,2.3,-1.1,0.429,7.2,0.997,0.349,0.352,0.175,0.121,0.003,0.431,0.55,0.355,0.407,0.339,0.0,0.604,0.068,0.0,0.0,0.0,4.6,10.7,0.429,0.0,0.0,0.0,4.6,10.7,0.431,2.9,4.0,0.72,4.1,5.6,9.7,2.0,1.4,3.6,2.1,6.4,12.0,102,107,7
185,Active,Elfrid Payton,PG,paytoel01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/paytoel01.html,214,14.3,0.479,0.26,4.0,10.8,7.3,32.4,2.3,0.9,17.7,20.0,-1.0,0.1,-0.8,0.439,8.5,0.875,0.425,0.238,0.097,0.114,0.125,0.461,0.566,0.384,0.368,0.313,0.286,0.203,0.026,0.92,0.279,0.329,7.3,16.7,0.439,0.6,2.1,0.286,6.7,14.6,0.461,2.6,4.3,0.591,1.8,4.8,6.6,10.6,2.3,0.5,4.0,3.8,17.8,100,108,4
186,Inactive,Elijah Millsap,SG,millsel01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/millsel01.html,67,7.7,0.44,0.375,3.6,15.9,9.8,10.7,3.0,1.4,19.1,16.7,-3.7,1.9,-1.8,0.332,13.0,0.632,0.336,0.162,0.058,0.076,0.368,0.36,0.484,0.244,0.188,0.19,0.284,0.365,0.025,0.966,0.353,0.333,4.4,13.4,0.332,1.4,4.9,0.284,3.0,8.5,0.36,3.4,5.0,0.683,1.6,7.3,8.9,3.7,3.0,0.9,3.7,7.6,13.7,87,102,5
187,Inactive,Elliot Williams,SG,williel01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/williel01.html,109,9.5,0.515,0.317,2.7,9.5,6.0,9.8,1.5,0.3,13.0,17.6,-2.6,-2.7,-5.3,0.421,13.1,0.62,0.376,0.1,0.035,0.109,0.38,0.489,0.616,0.217,0.25,0.38,0.31,0.568,0.092,0.833,0.218,0.237,6.5,15.3,0.421,1.8,5.8,0.31,4.7,9.5,0.489,3.2,4.9,0.669,1.3,4.1,5.4,3.1,1.5,0.2,2.6,5.3,18.0,99,112,5
188,Inactive,Elton Brand,C,brandel01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brandel01.html,1058,20.5,0.548,0.374,11.0,19.0,15.0,11.7,1.4,3.9,11.8,22.8,1.3,1.8,3.1,0.502,8.4,0.998,0.294,0.257,0.321,0.126,0.002,0.503,0.65,0.462,0.446,0.39,0.105,0.627,0.047,1.0,0.368,0.0,10.0,19.9,0.5,0.0,0.0,0.095,10.0,19.9,0.501,5.5,7.5,0.736,5.0,8.7,13.7,3.3,1.4,2.8,3.1,4.7,25.4,110,104,7
189,Active,Emmanuel Mudiay,PG,mudiaem01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mudiaem01.html,113,10.0,0.45,0.254,1.9,11.2,6.5,26.1,1.5,1.1,17.5,24.4,-2.7,-1.4,-4.1,0.365,12.7,0.719,0.314,0.117,0.134,0.153,0.281,0.385,0.486,0.276,0.301,0.338,0.315,0.314,0.021,0.797,0.133,0.288,7.6,20.9,0.365,1.8,5.9,0.315,5.8,15.0,0.385,3.8,5.3,0.714,0.9,5.0,5.8,8.4,1.5,0.7,4.9,3.4,20.9,91,112,6
190,Active,Enes Kanter,C,kanteen01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/kanteen01.html,421,19.4,0.574,0.303,14.1,21.5,17.8,5.0,0.9,1.7,13.5,23.3,-0.5,-2.1,-2.5,0.531,6.5,0.972,0.508,0.218,0.118,0.129,0.028,0.537,0.653,0.437,0.405,0.366,0.32,0.54,0.054,0.969,0.65,0.323,10.9,20.6,0.529,0.2,0.6,0.317,10.7,20.0,0.536,4.8,6.2,0.767,6.4,9.9,16.2,1.4,0.9,1.1,3.7,5.1,26.8,111,107,7
191,Active,Eric Bledsoe,PG,bledser01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bledser01.html,408,17.5,0.547,0.373,3.5,12.4,7.9,27.3,2.6,1.4,18.3,23.6,1.2,0.8,2.0,0.446,12.4,0.753,0.33,0.149,0.084,0.19,0.247,0.483,0.618,0.383,0.403,0.362,0.333,0.197,0.021,0.583,0.164,0.314,8.5,19.1,0.446,1.6,4.7,0.333,6.9,14.3,0.483,5.7,7.1,0.799,1.5,5.5,7.1,8.5,2.6,0.9,5.0,3.7,24.3,106,107,6
192,Active,Eric Gordon,SG,gordoer01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gordoer01.html,470,14.9,0.56,0.306,1.5,7.2,4.3,16.0,1.6,0.7,12.7,22.9,1.6,-2.2,-0.5,0.433,14.9,0.592,0.274,0.129,0.045,0.143,0.408,0.468,0.587,0.353,0.325,0.389,0.383,0.437,0.021,0.86,0.125,0.378,8.7,20.2,0.433,3.2,8.3,0.383,5.6,12.0,0.468,5.0,6.2,0.816,0.7,3.2,3.9,5.0,1.6,0.5,3.3,3.1,25.7,108,112,2
194,Inactive,Erick Green,PG,greener01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/greener01.html,52,9.3,0.439,0.08,2.4,6.7,4.5,14.7,1.4,0.0,7.2,18.7,-2.5,-2.6,-5.1,0.377,17.2,0.703,0.069,0.131,0.137,0.366,0.297,0.415,0.667,0.478,0.333,0.375,0.288,0.451,0.017,0.933,0.308,0.375,7.3,19.4,0.377,1.7,5.8,0.288,5.7,13.6,0.415,1.3,1.6,0.857,1.1,3.0,4.1,4.7,1.4,0.0,1.6,3.3,17.6,97,112,2
195,Active,Ersan Ilyasova,PF,ilyaser01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/ilyaser01.html,583,15.9,0.534,0.224,8.2,19.4,13.7,7.9,1.5,1.2,9.0,20.7,0.4,-0.5,-0.1,0.443,13.9,0.684,0.297,0.099,0.084,0.204,0.316,0.478,0.589,0.331,0.373,0.431,0.367,0.711,0.009,0.954,0.133,0.378,8.7,19.7,0.443,2.3,6.2,0.367,6.4,13.5,0.478,3.4,4.4,0.768,3.9,8.6,12.5,2.4,1.5,0.8,2.1,5.3,23.1,109,105,7
196,Active,Evan Fournier,SG,fournev01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/fournev01.html,297,13.1,0.559,0.259,1.9,9.2,5.5,13.3,1.5,0.2,12.5,20.7,0.7,-1.8,-1.1,0.445,14.0,0.602,0.301,0.144,0.054,0.103,0.398,0.488,0.627,0.348,0.377,0.333,0.379,0.466,0.019,0.85,0.204,0.404,8.2,18.4,0.445,2.8,7.3,0.379,5.4,11.1,0.488,3.8,4.8,0.791,0.9,4.1,5.0,4.2,1.5,0.1,2.9,4.6,23.0,106,111,5
197,Active,Evan Turner,SG,turneev01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/turneev01.html,519,12.4,0.491,0.215,2.2,17.6,9.8,20.5,1.5,0.6,15.2,20.1,-2.5,0.5,-2.0,0.432,12.1,0.862,0.222,0.163,0.262,0.215,0.138,0.453,0.605,0.383,0.419,0.391,0.302,0.355,0.02,0.916,0.447,0.36,7.7,17.8,0.432,0.7,2.5,0.302,6.9,15.3,0.453,3.0,3.8,0.783,1.1,8.0,9.0,6.7,1.5,0.4,3.5,3.7,19.1,97,106,2
198,Inactive,Festus Ezeli,C,ezelife01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/e/ezelife01.html,170,13.4,0.536,0.543,13.8,18.9,16.5,3.7,1.0,5.3,16.7,14.6,-3.0,1.9,-1.1,0.513,3.9,1.0,0.58,0.317,0.073,0.03,0.0,0.513,0.646,0.382,0.154,0.188,0.0,0.702,0.293,0.0,0.0,0.0,5.7,11.1,0.513,0.0,0.0,0.0,5.7,11.1,0.513,3.4,6.0,0.557,6.0,9.0,15.0,1.3,1.0,3.4,2.8,6.8,14.7,107,102,0
199,Inactive,Francisco Garcia,SF,garcifr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/garcifr01.html,549,12.3,0.541,0.21,2.7,11.0,6.8,10.0,1.9,2.4,12.0,17.0,-0.4,0.0,-0.3,0.427,16.7,0.555,0.21,0.055,0.067,0.223,0.445,0.484,0.654,0.379,0.365,0.385,0.357,0.554,0.013,0.916,0.336,0.397,6.7,15.7,0.427,2.5,7.0,0.357,4.2,8.7,0.484,2.6,3.3,0.799,1.2,4.8,6.0,3.2,1.9,1.7,2.3,5.3,18.5,106,109,1
200,Active,Frank Kaminsky,C,kaminfr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/kaminfr01.html,136,12.5,0.5,0.232,3.9,16.6,10.2,10.9,1.3,1.9,8.6,19.1,-1.4,0.2,-1.2,0.4,13.6,0.594,0.281,0.21,0.054,0.048,0.406,0.454,0.544,0.409,0.271,0.34,0.322,0.61,0.026,0.993,0.126,0.339,7.1,17.6,0.4,2.3,7.2,0.322,4.8,10.5,0.454,3.0,4.1,0.736,1.8,7.6,9.4,3.4,1.3,1.1,1.8,3.6,19.4,102,106,3
202,Inactive,Furkan Aldemir,PF,aldemfu01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/aldemfu01.html,41,12.0,0.517,0.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,-2.7,2.0,-0.7,0.513,5.9,0.936,0.628,0.167,0.013,0.128,0.064,0.548,0.694,0.154,1.0,0.3,0.0,0.45,0.128,0.0,0.0,0.0,3.7,7.2,0.513,0.0,0.5,0.0,3.7,6.8,0.548,1.2,2.5,0.481,7.2,9.1,16.3,2.6,1.6,1.5,1.6,8.9,8.6,117,104,7
204,Active,Garrett Temple,SG,templga01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/templga01.html,358,9.5,0.51,0.246,2.6,9.6,6.1,12.7,2.2,1.2,14.9,14.3,-1.8,0.6,-1.1,0.402,16.1,0.557,0.235,0.065,0.068,0.19,0.443,0.45,0.585,0.35,0.381,0.339,0.342,0.528,0.014,0.923,0.445,0.359,5.0,12.4,0.402,1.9,5.5,0.342,3.1,6.9,0.45,2.2,3.0,0.715,1.1,4.3,5.4,4.4,2.2,0.7,2.4,4.9,14.0,100,106,5
205,Active,Gary Harris,SG,harriga01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harriga01.html,165,12.2,0.545,0.192,2.7,7.8,5.2,9.7,2.1,0.6,10.9,17.2,0.4,-0.8,-0.5,0.444,13.6,0.598,0.342,0.088,0.07,0.098,0.402,0.513,0.602,0.381,0.415,0.389,0.343,0.627,0.061,0.946,0.324,0.345,7.3,16.3,0.446,2.3,6.5,0.346,5.0,9.7,0.513,2.5,3.1,0.785,1.2,3.5,4.7,3.1,2.1,0.4,2.2,3.2,19.2,107,111,5
206,Active,Gary Neal,SG,nealga01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/nealga01.html,352,12.6,0.532,0.179,1.2,10.2,5.8,12.4,1.0,0.1,10.1,22.0,-0.2,-2.3,-2.5,0.422,17.4,0.602,0.071,0.153,0.151,0.227,0.398,0.448,0.526,0.436,0.481,0.41,0.382,0.46,0.0,0.707,0.18,0.407,8.7,20.6,0.422,3.1,8.2,0.382,5.6,12.4,0.448,3.1,3.7,0.85,0.6,4.6,5.2,3.9,1.0,0.1,2.5,3.6,23.7,103,109,5
207,Active,George Hill,PG,hillge01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hillge01.html,582,15.2,0.565,0.299,2.3,10.2,6.3,18.7,1.7,0.8,11.1,18.3,1.7,0.4,2.1,0.452,14.8,0.643,0.233,0.127,0.107,0.176,0.357,0.493,0.646,0.441,0.42,0.372,0.378,0.343,0.015,0.787,0.357,0.399,7.4,16.4,0.452,2.2,5.9,0.378,5.2,10.5,0.493,3.9,4.9,0.801,1.0,4.8,5.8,6.0,1.7,0.5,2.3,3.9,21.0,115,105,2
210,Active,Gerald Green,SG,greenge01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/greenge01.html,533,13.2,0.53,0.192,3.0,11.2,7.1,8.6,1.3,1.1,11.4,23.6,-0.3,-2.0,-2.3,0.42,16.9,0.578,0.162,0.077,0.128,0.211,0.422,0.462,0.617,0.408,0.417,0.391,0.362,0.474,0.057,0.866,0.273,0.385,9.3,22.0,0.42,3.4,9.3,0.362,5.9,12.7,0.462,3.5,4.2,0.814,1.3,5.1,6.4,2.6,1.4,0.8,3.1,4.9,25.3,102,108,5
211,Active,Gerald Henderson,SG,hendege02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hendege02.html,515,13.6,0.518,0.306,2.5,11.7,7.0,12.9,1.3,1.1,10.0,21.2,-1.2,-0.9,-2.2,0.443,13.3,0.859,0.231,0.111,0.173,0.343,0.141,0.462,0.635,0.338,0.413,0.412,0.327,0.556,0.051,0.921,0.38,0.387,8.5,19.1,0.443,0.9,2.7,0.328,7.6,16.4,0.462,4.7,5.9,0.796,1.2,5.3,6.4,3.8,1.3,0.7,2.4,3.4,22.5,103,109,5
212,Inactive,Gerald Wallace,SF,wallage01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/wallage01.html,832,16.3,0.549,0.469,5.3,17.9,11.5,11.7,2.6,2.1,14.1,19.5,0.1,2.3,2.4,0.469,8.7,0.826,0.543,0.081,0.027,0.175,0.174,0.502,0.587,0.33,0.307,0.351,0.312,0.553,0.085,0.963,0.473,0.33,7.5,16.0,0.469,0.9,2.8,0.312,6.6,13.2,0.502,5.3,7.5,0.709,2.4,7.9,10.3,3.7,2.6,1.5,3.2,3.9,21.2,107,103,1
213,Active,Giannis Antetokounmpo,SF,antetgi01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/antetgi01.html,292,17.7,0.567,0.44,4.9,19.4,12.2,17.8,1.8,3.4,15.3,21.3,0.3,1.9,2.2,0.495,8.4,0.867,0.499,0.16,0.061,0.146,0.133,0.528,0.666,0.332,0.323,0.36,0.279,0.49,0.146,0.737,0.181,0.23,8.5,17.1,0.495,0.6,2.3,0.279,7.9,14.9,0.528,5.6,7.5,0.742,2.2,8.7,10.9,5.5,1.8,2.0,3.7,4.8,23.2,109,105,3
214,Inactive,Glen Davis,PF,davisgl01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/davisgl01.html,514,12.4,0.494,0.345,8.2,15.9,12.1,6.9,1.7,1.3,11.3,20.1,-2.8,0.6,-2.3,0.447,9.7,0.985,0.351,0.188,0.135,0.31,0.015,0.451,0.607,0.365,0.377,0.358,0.182,0.689,0.021,0.7,0.127,0.286,7.8,17.4,0.447,0.0,0.3,0.182,7.7,17.2,0.451,4.2,6.0,0.7,3.5,7.3,10.8,2.2,1.7,0.8,2.6,6.0,19.9,100,103,3
216,Active,Glenn Robinson,SF,robingl02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/robingl02.html,135,10.6,0.527,0.248,4.3,13.0,8.7,5.8,1.3,1.2,9.9,13.8,-2.1,-0.5,-2.6,0.441,12.2,0.689,0.228,0.098,0.06,0.204,0.311,0.474,0.588,0.449,0.4,0.392,0.368,0.62,0.082,1.0,0.484,0.427,5.5,12.6,0.441,1.4,3.9,0.368,4.1,8.7,0.474,2.2,3.1,0.702,1.9,5.8,7.8,1.9,1.3,0.7,1.5,2.2,14.7,106,109,1
217,Active,Goran Dragic,PG,dragigo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dragigo01.html,623,17.2,0.563,0.303,3.1,8.8,6.0,28.4,1.9,0.5,16.3,22.6,2.4,-1.1,1.3,0.472,12.5,0.714,0.324,0.123,0.135,0.133,0.286,0.516,0.667,0.384,0.399,0.392,0.363,0.259,0.007,0.66,0.214,0.379,9.0,19.0,0.472,2.0,5.4,0.363,7.0,13.6,0.516,4.3,5.8,0.753,1.4,4.0,5.4,8.9,1.9,0.4,4.2,4.3,24.3,110,109,6
218,Active,Gordon Hayward,SF,haywago01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/haywago01.html,494,17.6,0.562,0.396,2.7,12.7,7.7,18.7,1.7,1.1,13.0,23.2,2.3,-0.3,2.0,0.441,14.3,0.695,0.229,0.144,0.101,0.221,0.305,0.475,0.634,0.372,0.431,0.398,0.364,0.437,0.053,0.861,0.213,0.388,8.7,19.7,0.442,2.2,6.0,0.364,6.5,13.7,0.476,6.4,7.8,0.823,1.2,5.7,7.0,5.8,1.7,0.7,3.5,3.0,26.0,111,108,5
