,labels,x,y,Player
280,0,1.59677898678,-0.586449756391,Jonas Jerebko
281,6,3.63920248254,1.35536059318,Jonas Valanciunas
282,8,-0.832028658981,-0.826636334832,Jonathon Simmons
283,8,-1.56557366661,-1.20734062648,Jordan Adams
284,1,-1.76905349851,-0.177593812668,Jordan Clarkson
285,4,-3.11841680939,0.552373762203,Jordan Farmar
286,9,-0.0319243380373,-0.943906741224,Jordan Hamilton
287,5,2.85110677372,0.955781810427,Jordan Hill
288,1,-1.98995035951,-0.2889904016,Jordan McRae
289,0,1.44574050689,0.249623518748,Jordan Mickey
290,1,-1.75100090358,0.84213925003,Jorge Gutierrez
291,3,-4.52463227375,2.60587903603,Jose Calderon
292,0,0.695201552807,0.637379803463,Josh McRoberts
293,8,-1.62591289646,-0.79583659702,Josh Richardson
294,0,1.41034979677,0.214331092767,Josh Smith
295,4,-3.59497175646,1.74459744555,Jrue Holiday
296,7,0.772148427186,-1.16834790942,Juan Hernangomez
297,5,2.07000597081,0.771417999488,Julius Randle
298,7,0.398514072371,-1.46254171659,Justin Anderson
299,0,1.68582236686,-0.578587748251,Justin Hamilton
300,2,-0.786744140567,-1.39027979115,Justin Holiday
301,2,-0.231330133809,-1.29878731504,Justise Winslow
302,6,3.2839823096,1.28541914869,Jusuf Nurkic
303,9,0.177001441651,-0.482201963234,K.J. McDaniels
304,6,3.72529499584,0.629545460893,Karl-Anthony Towns
305,2,-0.00189334665944,-1.37497253626,Kawhi Leonard
306,4,-3.33860090786,0.725136032898,Kay Felder
307,0,1.4020675691,-0.158204850888,Kelly Olynyk
308,2,0.275517844332,-1.52109750614,Kelly Oubre
309,4,-3.2309727106,0.608185961678,Kemba Walker
310,3,-5.38180860642,3.05513338769,Kendall Marshall
311,5,2.92758149065,1.25913700964,Kendrick Perkins
312,5,3.22536349937,0.442314237181,Kenneth Faried
313,8,-1.15637153767,-1.13216920173,Kent Bazemore
314,2,-1.04687380388,-1.92517317697,Kentavious Caldwell-Pope
315,0,1.61885800585,-0.241569183022,Kenyon Martin
316,7,0.250693624588,-0.865189589431,Kevin Durant
317,5,2.38835193703,0.817755645224,Kevin Garnett
318,5,2.78979529827,-0.179500947638,Kevin Love
319,2,-0.953740121081,-1.61841704947,Kevin Martin
320,5,2.54026351633,1.57217466824,Kevin Seraphin
321,5,2.76988346083,0.73529160052,Kevon Looney
322,5,2.76988346083,0.73529160052,Kevon Looney
323,5,2.76988346083,0.73529160052,Kevon Looney
324,5,2.76988346083,0.73529160052,Kevon Looney
325,5,2.76988346083,0.73529160052,Kevon Looney
326,5,2.76988346083,0.73529160052,Kevon Looney
327,5,2.76988346083,0.73529160052,Kevon Looney
328,5,2.76988346083,0.73529160052,Kevon Looney
329,5,2.76988346083,0.73529160052,Kevon Looney
330,5,2.76988346083,0.73529160052,Kevon Looney
331,5,2.76988346083,0.73529160052,Kevon Looney
332,5,2.76988346083,0.73529160052,Kevon Looney
333,5,2.76988346083,0.73529160052,Kevon Looney
334,5,2.76988346083,0.73529160052,Kevon Looney
335,5,2.76988346083,0.73529160052,Kevon Looney
336,5,2.76988346083,0.73529160052,Kevon Looney
337,8,-1.24289669093,-0.678377740838,Khris Middleton
338,4,-3.15317001121,1.03606424436,Kirk Hinrich
339,2,-0.629456376152,-1.42816798089,Klay Thompson
340,1,-1.44692431558,-0.0474139386524,Kobe Bryant
341,6,3.39815376688,1.00008063281,Kosta Koufos
342,8,-0.906317782994,-0.601681797814,Kostas Papanikolaou
343,4,-2.77095181745,1.02061154357,Kris Dunn
344,5,3.14894795538,0.454542704256,Kris Humphries
345,0,2.29636869256,-0.181832843211,Kristaps Porzingis
346,8,-0.78336957012,-0.896146075231,Kyle Anderson
347,2,-0.154115954618,-1.22098450173,Kyle Korver
348,4,-2.98870663529,1.11539907905,Kyle Lowry
349,6,3.14037330766,1.60259559234,Kyle O'Quinn
350,2,0.221843839423,-1.52768256384,Kyle Singler
351,4,-3.12666637425,0.830371072124,Kyrie Irving
352,8,-1.03914281747,-0.892760604812,Lamar Patterson
353,0,2.10402232719,-0.138147219414,LaMarcus Aldridge
354,1,-1.44319077925,0.214256245822,Lance Stephenson
355,7,0.186612559568,-0.964986474314,Lance Thomas
356,2,0.0604299768313,-1.03026358646,Landry Fields
357,8,-1.62703509609,-0.54406315201,Langston Galloway
358,0,1.90789166231,-0.0845412251685,Larry Nance Jr.
359,6,3.2056938561,1.30016980855,Larry Sanders
360,5,2.89019438533,1.21262485305,Lavoy Allen
361,8,-1.87734568762,-0.748362762098,Leandro Barbosa
362,1,-1.46007381727,0.345558498803,LeBron James
363,1,-1.9558010456,-0.196773486947,Lester Hudson
364,4,-3.02594682336,1.49481728344,Lorenzo Brown
365,6,3.09828899649,1.34772392961,Lou Amundson
366,1,-2.92266649325,-0.295868649569,Lou Williams
367,7,0.806934430586,-1.24666686703,Luc Mbah a Moute
368,5,2.81159239777,0.0880860498732,Lucas Nogueira
369,7,0.276412873639,-0.70202547217,Luigi Datome
370,0,2.05800133744,-0.0977870873878,Luis Scola
371,9,-0.297694300216,-0.846603952765,Luke Babbitt
372,4,-3.57251147006,1.64960559267,Luke Ridnour
373,7,0.432027103941,-1.10071294405,Luol Deng
374,2,-0.442939938665,-1.24219640393,Malachi Richardson
375,4,-3.09042756017,0.888415578621,Malcolm Brogdon
376,4,-3.45447589946,1.33194127647,Malcolm Delaney
377,8,-1.30516195179,-0.200885640331,Malcolm Lee
378,0,2.11937809486,0.275775156033,Malcolm Thomas
379,1,-2.10138563464,-0.0263039842651,Manu Ginobili
380,5,2.1127459611,0.737745237904,Marc Gasol
381,3,-3.7642875503,3.05301355373,Marcelo Huertas
382,6,3.97031869709,0.656462640541,Marcin Gortat
383,8,-1.02698485968,-1.30715015745,Marco Belinelli
384,2,-0.331667261575,-1.18459352252,Marcus Morris
385,1,-2.08219603594,-0.232363960213,Marcus Smart
386,8,-0.887082006832,-1.21728580136,Marcus Thornton
387,4,-3.35984666054,0.294882585124,Mario Chalmers
388,8,-0.873787266932,-0.628287019894,Mario Hezonja
389,8,-1.11945203522,-1.01600734749,Markel Brown
390,0,1.06704164213,-0.270869989269,Markieff Morris
391,7,1.07521680217,-1.15950950278,Marquese Chriss
392,5,3.06414034246,0.857415645111,Marreese Speights
393,2,-0.23849116829,-1.65213525697,Martell Webster
394,7,0.835005569688,-1.04854116293,Marvin Williams
395,5,2.3082105939,1.08563424901,Mason Plumlee
396,7,0.828891888388,-0.727177006662,Matt Barnes
397,7,1.07814239113,-0.636320123724,Matt Bonner
398,4,-3.20942709849,1.81285212159,Matthew Dellavedova
399,2,0.191569314633,-1.54179193788,Maurice Harkless
400,7,0.971869567348,-1.45010576881,Maurice Ndour
401,8,-1.30157407992,-0.966737310077,Metta World Peace
402,0,2.56575017167,-0.115888028912,Meyers Leonard
403,7,0.743571004013,-0.333235901667,Michael Beasley
404,4,-2.30013097733,1.5651158136,Michael Carter-Williams
405,0,1.60812976234,-0.498134088945,Michael Kidd-Gilchrist
406,4,-3.85608874197,0.960705717651,Mike Conley
407,9,-0.0250041607502,-0.948918599124,Mike Dunleavy
408,9,-0.523796000606,-0.419855558086,Mike Miller
409,0,1.96793124466,0.273003790026,Mike Muscala
410,0,1.36908134335,-0.606252355613,Mike Scott
411,5,2.74813267194,0.960948238672,Miles Plumlee
412,2,-0.493749601027,-1.15779479314,Mindaugas Kuzminskas
413,6,2.72814392357,1.82445158925,Miroslav Raduljica
414,7,0.681819146726,-0.902279440453,Mirza Teletovic
415,5,2.73175919205,0.429755137637,Mitch McGary
416,4,-3.29338098215,1.57563074975,Mo Williams
417,1,-2.61198878417,-0.0924071598092,Monta Ellis
418,0,1.33370544388,0.356754820745,Montrezl Harrell
419,5,3.08229413446,-0.127671862691,Myles Turner
420,1,-2.62738177289,0.414035061753,Nate Robinson
421,1,-2.28229928925,0.987097207017,Nate Wolters
422,5,2.95371357712,1.15858053538,Nazr Mohammed
423,7,0.866717392451,-0.415710668943,Nemanja Bjelica
424,0,1.84639292501,0.0430390833132,Nene Hilario
425,0,2.21352525392,0.146461726653,Nerlens Noel
426,4,-3.00620579067,1.04289811461,Nick Calathes
427,5,2.37129649651,0.411483642516,Nick Collison
428,9,-0.512391169016,-0.647934811007,Nick Johnson
429,8,-1.33767686141,-1.38752670819,Nick Young
430,9,-0.330892928492,-0.389150082084,Nicolas Batum
431,9,0.041709603637,-0.582128413724,Nicolas Brussino
432,8,-1.44602963635,-1.0177169465,Nik Stauskas
433,6,2.69554946413,1.93064313137,Nikola Jokic
434,7,0.882677429605,-1.36727716855,Nikola Mirotic
435,5,2.94712275951,0.706040320529,Nikola Pekovic
436,6,3.23863529988,0.974775726707,Nikola Vucevic
437,0,2.07797541685,0.205195700089,Noah Vonleh
438,8,-1.59068113933,-1.29397405124,Norman Powell
439,1,-3.04565719149,0.326341588102,Norris Cole
440,8,-1.73507554194,-0.476000560447,O.J. Mayo
441,6,3.32715794416,1.30640949083,Ognjen Kuzmic
442,5,2.74896771572,-0.0475669351211,Omer Asik
443,7,0.679865477635,-1.15433785082,Omri Casspi
444,8,-0.97810473368,-0.657834634885,Orlando Johnson
445,7,0.60048769364,-1.48520979448,Otto Porter
446,2,-0.347972145438,-1.71088145784,P.J. Hairston
447,2,-0.057657336864,-1.36591480561,P.J. Tucker
448,4,-3.42124303517,1.19002931982,Pablo Prigioni
449,0,1.99962619655,0.0950714329299,Pascal Siakam
450,9,0.0212899394275,-0.376147011747,Pat Connaughton
451,1,-1.96186837761,0.0874341508325,Patrick Beverley
452,8,-0.988841240012,-1.37525449076,Patrick McCaw
453,7,1.26952923025,-0.564100213126,Patrick Patterson
454,1,-2.6979833157,-0.175422677429,Patty Mills
455,5,2.28568790273,0.704985784687,Pau Gasol
456,8,-0.943782663433,-0.928117086695,Paul George
457,0,1.98732333717,0.0891754201198,Paul Millsap
458,9,-0.734868655258,-0.668600762091,Paul Pierce
459,2,0.384464431364,-1.83394266427,Paul Zipser
460,7,1.10406586037,-0.552844163402,Pero Antic
461,7,0.368117398658,-1.3668971549,Perry Jones
462,3,-4.87144023926,2.1037253187,Phil Pressey
463,0,1.89674258115,-0.175398036234,Quincy Acy
464,2,-0.130888479562,-1.05154077792,Quincy Miller
465,2,-0.496081627776,-1.37835611449,Quincy Pondexter
466,2,-1.14940367146,-1.97681924051,R.J. Hunter
467,3,-4.18959378045,2.97491652494,Rajon Rondo
468,4,-2.74526377424,1.37848464966,Ramon Sessions
469,1,-2.51121428032,0.0294863098909,Randy Foye
470,2,-0.910439062957,-1.69375780302,Rashad Vaughn
471,2,-0.292703798163,-1.55066100715,Rasual Butler
472,1,-3.29529396683,-0.0462685094391,Raul Neto
473,1,-2.49526902286,0.473297408753,Ray McCallum
474,4,-3.67743382405,1.48909100877,Raymond Felton
475,2,-0.0889600600285,-2.162982317,Reggie Bullock
476,5,2.96365312919,0.528863551091,Reggie Evans
477,4,-3.30244755658,1.56226670774,Reggie Jackson
478,8,-0.983399982216,-0.703037626971,Reggie Williams
479,2,-0.0831305974015,-1.19806690434,Richard Jefferson
480,5,2.38244792004,0.264992302985,Richaun Holmes
481,9,-0.855630089459,0.576748567687,Ricky Ledo
482,3,-4.88495917891,2.51428808279,Ricky Rubio
483,7,0.947534717867,-1.47300514221,Robbie Hummel
484,2,0.155895433599,-1.6334636683,Robert Covington
485,5,2.3168050223,0.864166030494,Robert Sacre
486,5,2.79696950511,0.980005427988,Robin Lopez
487,8,-1.73882838165,-0.74525281343,Rodney Hood
488,2,-0.557487585779,-1.57514324594,Rodney McGruder
489,1,-2.26117271692,0.441897821679,Rodney Stuckey
490,1,-2.21415566918,-0.761758445029,Ron Baker
491,9,0.350066315333,-0.277276373501,Rondae Hollis-Jefferson
492,1,-3.03810413974,0.308512553928,Ronnie Price
493,5,1.93629964985,1.14387018881,Ronny Turiaf
494,5,2.86945073057,1.22959178903,Roy Hibbert
495,9,-0.190322588446,-0.699991193805,Rudy Gay
496,6,3.99382866252,1.25255350654,Rudy Gobert
497,4,-3.64833320286,0.802385453766,Russ Smith
498,4,-2.8415053486,1.9157629722,Russell Westbrook
499,7,0.887107824583,-0.700004791789,Ryan Anderson
500,5,2.30949932918,0.993622927332,Ryan Hollins
501,7,0.336339959507,-0.810492372288,Ryan Kelly
502,6,3.84195107387,1.44483876014,Salah Mejri
503,7,0.997092106241,-0.908336084289,Sam Dekker
