,Unnamed: 0,Player,Pos,Player_ID,url,Cluster,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
680,531,Reggie Williams,SF,willire02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/willire02.html,3,205.0,32.0,18.1,2.9,6.4,0.456,1.0,2.7,0.366,1.9,3.7,0.521,0.532,1.0,1.3,0.75,0.5,1.9,2.4,1.5,0.4,0.1,0.7,1.2,7.8
681,532,Richard Jefferson,SF,jefferi01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jefferi01.html,2,1137.0,802.0,29.5,4.5,9.6,0.464,0.9,2.4,0.376,3.6,7.3,0.492,0.51,3.1,4.0,0.768,0.8,3.3,4.1,2.1,0.7,0.3,1.5,2.3,12.9
682,533,Richaun Holmes,C,holmeri01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/holmeri01.html,8,83.0,3.0,14.7,2.4,4.7,0.521,0.2,0.8,0.239,2.3,3.9,0.579,0.541,1.0,1.5,0.661,1.3,2.0,3.3,0.7,0.4,0.8,0.7,1.9,6.1
683,535,Ricky Rubio,PG,rubiori01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/rubiori01.html,4,329.0,309.0,31.6,3.1,8.3,0.371,0.7,2.1,0.311,2.4,6.2,0.391,0.41,3.1,3.8,0.822,0.7,3.5,4.2,8.3,2.2,0.1,2.7,2.6,9.9
684,536,Robbie Hummel,SF,hummero01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hummero01.html,5,98.0,9.0,14.3,1.5,3.6,0.418,0.5,1.4,0.343,1.0,2.1,0.469,0.487,0.4,0.5,0.867,0.7,2.0,2.7,0.5,0.3,0.1,0.3,1.5,3.9
685,537,Robert Covington,SF,covinro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/covinro01.html,2,194.0,148.0,28.1,4.0,10.3,0.389,2.3,6.4,0.354,1.7,3.9,0.445,0.499,2.1,2.6,0.804,1.1,4.4,5.4,1.4,1.5,0.6,1.9,3.0,12.4
686,538,Robert Sacre,C,sacrero01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/sacrero01.html,1,189.0,35.0,14.5,1.7,3.9,0.436,0.0,0.0,0.0,1.7,3.9,0.437,0.436,0.8,1.2,0.671,1.1,2.0,3.1,0.7,0.3,0.6,0.5,1.8,4.2
687,539,Robin Lopez,C,lopezro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lopezro01.html,1,604.0,456.0,22.6,3.5,6.7,0.528,0.0,0.0,0.0,3.5,6.7,0.529,0.528,1.6,2.1,0.759,2.5,3.0,5.5,0.7,0.3,1.3,1.0,2.1,8.6
688,540,Rodney Hood,SG,hoodro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hoodro01.html,3,170.0,141.0,28.1,4.5,10.8,0.417,1.8,5.0,0.361,2.7,5.8,0.466,0.501,1.7,2.1,0.815,0.3,2.8,3.1,2.2,0.7,0.2,1.3,2.4,12.5
689,541,Rodney McGruder,SG,mcgruro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mcgruro01.html,2,53.0,40.0,26.2,2.4,5.9,0.397,0.9,2.8,0.336,1.4,3.1,0.452,0.476,0.6,1.0,0.654,1.3,2.1,3.4,1.5,0.7,0.2,0.7,1.9,6.3
690,542,Rodney Stuckey,PG,stuckro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stuckro01.html,9,637.0,302.0,27.7,4.5,10.7,0.425,0.4,1.4,0.3,4.1,9.3,0.444,0.445,3.3,4.0,0.825,0.7,2.3,3.0,3.6,0.9,0.1,1.8,2.1,12.7
691,544,Rondae Hollis-Jefferson,SF,holliro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/holliro01.html,7,82.0,42.0,21.6,2.5,5.7,0.436,0.2,0.8,0.238,2.3,5.0,0.467,0.452,2.0,2.7,0.743,1.0,4.2,5.2,1.9,1.1,0.5,1.4,2.2,7.2
692,545,Ronnie Price,PG,pricero01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/pricero01.html,9,532.0,73.0,13.5,1.4,3.7,0.376,0.5,1.5,0.306,0.9,2.2,0.423,0.437,0.5,0.7,0.737,0.3,0.9,1.2,1.8,0.8,0.1,0.9,1.7,3.8
693,546,Ronny Turiaf,C,turiaro01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/turiaro01.html,1,473.0,105.0,17.0,1.8,3.4,0.533,0.0,0.0,0.0,1.8,3.4,0.535,0.533,1.1,1.7,0.636,1.1,2.6,3.7,1.3,0.4,1.3,0.8,2.4,4.7
694,547,Roy Hibbert,C,hibbero01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hibbero01.html,6,656.0,586.0,25.0,4.0,8.6,0.465,0.0,0.0,0.25,4.0,8.6,0.466,0.465,2.1,2.7,0.755,2.3,4.0,6.4,1.3,0.4,1.7,1.6,3.1,10.1
695,548,Rudy Gay,SF,gayru01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gayru01.html,7,753.0,715.0,35.6,7.0,15.4,0.452,1.1,3.0,0.345,5.9,12.4,0.479,0.486,3.4,4.3,0.796,1.5,4.4,5.9,2.3,1.3,0.8,2.4,2.5,18.4
696,549,Rudy Gobert,C,goberru01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/goberru01.html,6,245.0,154.0,26.3,3.1,5.1,0.597,0.0,0.0,0.0,3.1,5.1,0.598,0.597,2.4,3.9,0.612,3.0,6.4,9.5,1.1,0.6,2.1,1.5,2.3,8.5
697,551,Russell Westbrook,PG,westbru01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/westbru01.html,0,644.0,627.0,34.1,7.7,17.9,0.433,1.0,3.2,0.309,6.8,14.7,0.46,0.461,5.8,7.1,0.819,1.7,4.4,6.0,7.8,1.7,0.3,3.9,2.4,22.3
698,552,Ryan Anderson,PF,anderry01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderry01.html,5,540.0,215.0,26.5,4.6,10.8,0.423,2.1,5.5,0.381,2.5,5.2,0.468,0.521,2.0,2.3,0.86,2.1,3.4,5.5,0.9,0.6,0.4,1.0,2.0,13.2
699,553,Ryan Hollins,C,holliry01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/holliry01.html,1,518.0,76.0,11.8,1.3,2.3,0.584,0.0,0.0,0.0,1.3,2.3,0.584,0.584,1.0,1.6,0.649,0.9,1.3,2.2,0.3,0.2,0.5,0.7,2.0,3.7
700,554,Ryan Kelly,PF,kellyry01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/kellyry01.html,5,156.0,59.0,19.6,2.0,5.4,0.38,0.6,2.0,0.314,1.4,3.3,0.42,0.44,1.5,1.8,0.797,0.5,2.7,3.2,1.4,0.5,0.5,0.7,2.0,6.2
701,555,Salah Mejri,C,mejrisa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mejrisa01.html,6,84.0,17.0,12.7,1.3,2.0,0.655,0.0,0.0,0.0,1.3,1.9,0.667,0.655,0.6,1.0,0.613,1.3,2.9,4.2,0.2,0.4,1.0,0.6,2.0,3.2
702,556,Sam Dekker,SF,dekkesa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dekkesa01.html,5,62.0,1.0,18.9,2.8,5.9,0.478,0.9,2.6,0.329,2.0,3.3,0.594,0.55,0.5,0.9,0.589,1.3,2.4,3.7,1.0,0.5,0.3,0.6,1.1,7.1
703,557,Samuel Dalembert,C,dalemsa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dalemsa01.html,6,886.0,694.0,24.4,3.2,6.1,0.521,0.0,0.0,0.083,3.2,6.1,0.522,0.521,1.3,1.9,0.706,2.6,5.3,7.8,0.5,0.5,1.7,1.4,2.9,7.7
704,559,Sasha Vujacic,SG,vujacsa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/vujacsa01.html,3,568.0,56.0,15.4,1.9,4.7,0.393,0.9,2.5,0.369,0.9,2.2,0.419,0.49,0.7,0.8,0.864,0.3,1.5,1.9,1.3,0.6,0.1,0.6,1.5,5.3
705,560,Sean Kilpatrick,SG,kilpase01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/kilpase01.html,3,91.0,24.0,23.5,4.2,9.8,0.425,1.4,4.1,0.345,2.7,5.7,0.484,0.498,2.4,2.9,0.844,0.3,2.8,3.1,1.8,0.6,0.1,1.7,1.6,12.2
706,561,Sebastian Telfair,PG,telfase01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/telfase01.html,0,564.0,193.0,21.5,2.7,7.0,0.39,0.6,2.0,0.319,2.1,5.0,0.419,0.436,1.3,1.7,0.777,0.3,1.3,1.6,3.5,0.7,0.1,1.5,2.1,7.4
707,563,Serge Ibaka,PF,ibakase01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/ibakase01.html,1,580.0,469.0,29.0,5.0,9.6,0.519,0.5,1.3,0.365,4.5,8.4,0.542,0.543,1.4,1.9,0.753,2.4,5.0,7.3,0.6,0.4,2.4,1.3,2.8,11.9
708,564,Sergey Karasev,SG,karasse01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/karasse01.html,7,95.0,22.0,11.7,1.0,2.6,0.395,0.3,1.2,0.282,0.7,1.4,0.489,0.459,0.7,0.8,0.842,0.3,1.2,1.5,0.9,0.3,0.0,0.6,1.0,3.0
709,565,Sergio Rodriguez,PG,rodrise01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/rodrise01.html,4,337.0,52.0,14.7,1.9,4.5,0.411,0.5,1.6,0.335,1.3,2.9,0.454,0.471,0.6,0.8,0.745,0.3,1.1,1.5,3.3,0.6,0.0,1.4,1.2,4.8
710,566,Seth Curry,PG,curryse01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/curryse01.html,9,100.0,33.0,21.8,3.4,7.3,0.461,1.5,3.4,0.428,1.9,3.9,0.491,0.561,0.9,1.1,0.816,0.3,1.7,2.0,2.1,0.9,0.1,1.0,1.4,9.1
711,567,Shabazz Muhammad,SF,muhamsh01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/muhamsh01.html,5,210.0,13.0,18.5,3.6,7.5,0.472,0.5,1.5,0.345,3.0,6.1,0.504,0.506,2.0,2.6,0.749,1.1,1.8,3.0,0.6,0.3,0.1,0.7,1.1,9.6
712,568,Shabazz Napier,PG,napiesh01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/napiesh01.html,0,139.0,10.0,13.6,1.4,3.8,0.368,0.7,2.0,0.345,0.7,1.8,0.394,0.46,0.7,0.9,0.754,0.2,1.2,1.4,1.9,0.6,0.0,1.1,1.0,4.2
713,569,Shane Larkin,PG,larkish01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/larkish01.html,0,202.0,39.0,20.3,2.3,5.3,0.43,0.4,1.3,0.328,1.9,4.0,0.464,0.471,0.8,1.0,0.762,0.3,1.6,2.0,3.2,1.1,0.1,1.3,1.6,5.8
714,570,Shannon Brown,SG,brownsh01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brownsh01.html,3,408.0,60.0,18.0,2.9,7.0,0.42,0.7,2.0,0.332,2.3,5.0,0.456,0.468,1.1,1.4,0.807,0.4,1.4,1.9,1.1,0.7,0.2,0.9,1.3,7.6
715,571,Shaun Livingston,PG,livinsh01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/livinsh01.html,0,674.0,182.0,21.7,2.7,5.6,0.483,0.0,0.1,0.188,2.7,5.5,0.488,0.484,1.2,1.5,0.791,0.6,1.9,2.5,3.2,0.8,0.4,1.4,1.9,6.6
716,572,Shavlik Randolph,PF,randosh01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/randosh01.html,1,146.0,7.0,8.2,0.9,2.0,0.449,0.0,0.0,0.167,0.9,1.9,0.456,0.451,0.6,1.0,0.544,1.0,1.5,2.5,0.2,0.3,0.3,0.4,1.3,2.3
