,Season,Player,Player_ID,Pos,url,Player_ID1,Games_,Minutes_Played,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
120,Inactive,Danilo Gallinari,gallida01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gallida01.html,gallida01,443.0,13747.0,16.3,0.579,0.447,0.451,2.8,14.1,8.4,9.6,1.3,1.1,9.2,20.3,30.4,8.2,38.5,0.135,0.0,-1.2,1.0,10.4,442.0,13722.0,0.417,16.4,0.553,0.232,0.081,0.056,0.185,0.447,0.458,0.594,0.331,0.361,0.373,0.367,0.481,0.053,231.0,0.899,0.204,0.39,14.0,2.0
121,Inactive,Danilo Gallinari,gallida01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gallida01.html,gallida01,443.0,13747.0,16.3,0.579,0.447,0.451,2.8,14.1,8.4,9.6,1.3,1.1,9.2,20.3,30.4,8.2,38.5,0.135,0.0,-1.2,1.0,10.4,442.0,13722.0,0.417,16.4,0.553,0.232,0.081,0.056,0.185,0.447,0.458,0.594,0.331,0.361,0.373,0.367,0.481,0.053,231.0,0.899,0.204,0.39,14.0,2.0
122,Active,Danny Green,greenda02,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/greenda02.html,greenda02,450.0,11237.0,13.7,0.571,0.612,0.132,2.6,12.7,7.8,9.3,2.1,2.4,11.7,16.2,11.6,18.2,29.8,0.127,0.0,2.0,3.4,15.3,450.0,11237.0,0.427,18.3,0.388,0.167,0.075,0.054,0.092,0.612,0.464,0.603,0.361,0.3,0.39,0.404,0.653,0.015,36.0,0.942,0.347,0.405,12.0,0.0
123,Active,Dante Cunningham,cunnida01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/cunnida01.html,cunnida01,555.0,11817.0,11.2,0.5,0.107,0.157,6.2,14.1,10.1,5.2,1.6,1.9,7.9,13.9,7.4,11.6,19.0,0.077,0.0,0.9,-1.2,2.5,555.0,11817.0,0.467,13.4,0.893,0.258,0.093,0.104,0.439,0.107,0.485,0.689,0.364,0.399,0.412,0.313,0.842,0.057,164.0,1.0,0.567,0.358,11.0,0.0
124,Inactive,Dante Cunningham,cunnida01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/cunnida01.html,cunnida01,555.0,11817.0,11.2,0.5,0.107,0.157,6.2,14.1,10.1,5.2,1.6,1.9,7.9,13.9,7.4,11.6,19.0,0.077,0.0,0.9,-1.2,2.5,555.0,11817.0,0.467,13.4,0.893,0.258,0.093,0.104,0.439,0.107,0.485,0.689,0.364,0.399,0.412,0.313,0.842,0.057,164.0,1.0,0.567,0.358,11.0,0.0
125,Active,Dante Exum,exumda01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/e/exumda01.html,exumda01,124.0,2596.0,6.5,0.48,0.555,0.106,1.9,7.2,4.6,15.9,1.1,0.7,19.4,15.0,-1.1,1.9,0.8,0.015,0.0,-1.0,-3.4,-0.9,124.0,2596.0,0.379,16.7,0.445,0.236,0.1,0.026,0.083,0.555,0.474,0.627,0.354,0.235,0.259,0.303,0.387,0.046,27.0,0.954,0.403,0.29,3.0,0.0
126,Active,Danuel House,houseda01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/houseda01.html,houseda01,1.0,1.0,12.3,0.0,0.0,0.0,0.0,100.0,56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,-4.2,-20.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Active,Dario Saric,saricda01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/saricda01.html,saricda01,56.0,1368.0,11.5,0.498,0.394,0.208,6.0,20.7,13.4,11.8,1.3,0.9,15.0,22.9,-1.0,1.5,0.4,0.015,0.0,-0.3,-3.0,-0.3,56.0,1368.0,0.397,14.7,0.606,0.281,0.12,0.052,0.159,0.394,0.442,0.567,0.418,0.345,0.281,0.327,0.56,0.013,7.0,0.931,0.105,0.348,1.0,0.0
128,Active,Darrell Arthur,arthuda01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/arthuda01.html,arthuda01,472.0,8638.0,12.2,0.494,0.135,0.151,7.1,16.0,11.5,7.2,1.7,2.8,11.1,18.6,2.5,9.6,12.1,0.067,0.0,0.5,-1.8,0.3,472.0,8638.0,0.445,13.0,0.865,0.241,0.131,0.132,0.362,0.135,0.46,0.585,0.376,0.436,0.416,0.353,0.779,0.066,173.0,0.986,0.25,0.343,5.0,0.0
129,Inactive,Darrell Arthur,arthuda01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/arthuda01.html,arthuda01,472.0,8638.0,12.2,0.494,0.135,0.151,7.1,16.0,11.5,7.2,1.7,2.8,11.1,18.6,2.5,9.6,12.1,0.067,0.0,0.5,-1.8,0.3,472.0,8638.0,0.445,13.0,0.865,0.241,0.131,0.132,0.362,0.135,0.46,0.585,0.376,0.436,0.416,0.353,0.779,0.066,173.0,0.986,0.25,0.343,5.0,0.0
130,Active,Darren Collison,collida01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/collida01.html,collida01,545.0,16120.0,15.9,0.562,0.217,0.291,1.8,8.1,5.0,26.0,1.9,0.4,15.6,20.2,24.1,10.6,34.7,0.103,0.0,-1.3,-0.2,7.2,545.0,16120.0,0.469,12.9,0.783,0.278,0.131,0.133,0.242,0.217,0.494,0.622,0.377,0.434,0.443,0.38,0.298,0.009,45.0,0.758,0.302,0.478,19.0,0.0
131,Active,Darrun Hilliard,hillida01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hillida01.html,hillida01,65.0,673.0,7.6,0.47,0.379,0.282,1.1,11.0,5.9,11.0,1.2,0.2,13.3,19.2,-0.4,0.6,0.1,0.011,0.0,-1.4,-5.1,-0.5,65.0,673.0,0.366,16.3,0.621,0.176,0.119,0.079,0.251,0.379,0.39,0.575,0.185,0.389,0.351,0.326,0.4,0.009,2.0,0.893,0.384,0.333,3.0,0.0
132,Active,David Lee,leeda02,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/leeda02.html,leeda02,805.0,23839.0,19.2,0.576,0.003,0.312,9.9,24.1,17.0,12.6,1.3,1.0,12.9,20.7,48.8,25.6,74.4,0.15,0.0,0.9,1.6,21.7,805.0,23839.0,0.535,6.4,0.997,0.497,0.229,0.1,0.171,0.003,0.537,0.665,0.398,0.428,0.415,0.034,0.655,0.092,738.0,1.0,0.103,0.0,3.0,0.0
133,Inactive,David Lee,leeda02,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/leeda02.html,leeda02,805.0,23839.0,19.2,0.576,0.003,0.312,9.9,24.1,17.0,12.6,1.3,1.0,12.9,20.7,48.8,25.6,74.4,0.15,0.0,0.9,1.6,21.7,805.0,23839.0,0.535,6.4,0.997,0.497,0.229,0.1,0.171,0.003,0.537,0.665,0.398,0.428,0.415,0.034,0.655,0.092,738.0,1.0,0.103,0.0,3.0,0.0
134,Inactive,David Lee,leeda02,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/leeda02.html,leeda02,805.0,23839.0,19.2,0.576,0.003,0.312,9.9,24.1,17.0,12.6,1.3,1.0,12.9,20.7,48.8,25.6,74.4,0.15,0.0,0.9,1.6,21.7,805.0,23839.0,0.535,6.4,0.997,0.497,0.229,0.1,0.171,0.003,0.537,0.665,0.398,0.428,0.415,0.034,0.655,0.092,738.0,1.0,0.103,0.0,3.0,0.0
135,Active,David West,westda01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/westda01.html,westda01,936.0,27786.0,18.6,0.542,0.018,0.276,7.1,19.0,13.1,13.2,1.3,2.1,11.1,23.2,42.6,38.8,81.4,0.141,0.0,1.3,1.4,24.1,936.0,27786.0,0.492,10.0,0.982,0.273,0.229,0.193,0.286,0.018,0.496,0.614,0.451,0.417,0.474,0.261,0.614,0.027,272.0,0.906,0.192,0.308,8.0,0.0
136,Inactive,David West,westda01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/westda01.html,westda01,936.0,27786.0,18.6,0.542,0.018,0.276,7.1,19.0,13.1,13.2,1.3,2.1,11.1,23.2,42.6,38.8,81.4,0.141,0.0,1.3,1.4,24.1,936.0,27786.0,0.492,10.0,0.982,0.273,0.229,0.193,0.286,0.018,0.496,0.614,0.451,0.417,0.474,0.261,0.614,0.027,272.0,0.906,0.192,0.308,8.0,0.0
137,Active,Davis Bertans,bertada01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bertada01.html,bertada01,48.0,556.0,13.0,0.606,0.729,0.194,3.2,10.3,6.8,8.8,1.3,3.0,10.6,15.3,0.8,0.8,1.6,0.142,0.0,0.6,2.0,0.6,48.0,556.0,0.439,20.0,0.271,0.168,0.039,0.006,0.058,0.729,0.571,0.692,0.333,0.0,0.444,0.389,0.792,0.071,11.0,0.977,0.204,0.478,1.0,0.0
138,Active,DeAndre Jordan,jordade01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jordade01.html,jordade01,649.0,17833.0,18.0,0.627,0.003,0.744,13.0,28.0,20.6,3.5,1.1,5.2,15.0,13.8,32.6,30.2,62.8,0.169,0.0,2.7,2.0,18.0,649.0,17833.0,0.672,1.8,0.997,0.825,0.16,0.009,0.003,0.003,0.674,0.723,0.45,0.367,0.182,0.1,0.705,0.491,1525.0,0.0,0.1,0.0,0.0,0.0
139,Active,DeAndre Liggins,liggide01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/liggide01.html,liggide01,103.0,1054.0,8.6,0.509,0.351,0.356,3.6,11.5,7.7,8.4,3.0,1.3,19.9,11.7,-0.1,1.4,1.3,0.06,0.0,1.9,-0.9,0.3,103.0,1054.0,0.424,11.9,0.649,0.414,0.126,0.037,0.073,0.351,0.46,0.582,0.25,0.0,0.357,0.358,0.649,0.026,3.0,0.958,0.478,0.438,1.0,0.0
140,Inactive,DeAndre Liggins,liggide01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/liggide01.html,liggide01,103.0,1054.0,8.6,0.509,0.351,0.356,3.6,11.5,7.7,8.4,3.0,1.3,19.9,11.7,-0.1,1.4,1.3,0.06,0.0,1.9,-0.9,0.3,103.0,1054.0,0.424,11.9,0.649,0.414,0.126,0.037,0.073,0.351,0.46,0.582,0.25,0.0,0.357,0.358,0.649,0.026,3.0,0.958,0.478,0.438,1.0,0.0
141,Active,DeAndre' Bembry,bembrde01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bembrde01.html,bembrde01,26.0,269.0,8.7,0.474,0.149,0.189,3.3,13.3,8.4,11.2,0.9,0.9,11.1,14.7,-0.1,0.3,0.2,0.035,0.0,-0.4,-5.0,-0.2,26.0,269.0,0.473,7.6,0.851,0.595,0.095,0.122,0.041,0.149,0.556,0.636,0.143,0.333,1.0,0.0,0.657,0.108,6.0,0.0,0.182,0.0,1.0,0.0
142,Active,DeMar DeRozan,derozde01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/derozde01.html,derozde01,571.0,19430.0,16.9,0.531,0.092,0.406,2.6,11.2,6.9,14.3,1.5,0.7,9.6,26.4,29.1,11.9,41.0,0.101,0.0,-1.4,-1.1,4.5,571.0,19430.0,0.445,12.3,0.908,0.221,0.171,0.195,0.321,0.092,0.462,0.639,0.434,0.419,0.38,0.28,0.451,0.041,324.0,0.851,0.412,0.38,14.0,0.0
143,Active,DeMarcus Cousins,couside01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/couside01.html,couside01,471.0,15031.0,22.5,0.532,0.071,0.457,10.2,27.9,19.0,17.4,2.2,3.0,14.8,31.9,15.4,20.6,36.1,0.115,0.0,1.9,2.6,17.3,471.0,15031.0,0.459,8.7,0.929,0.367,0.286,0.071,0.204,0.071,0.47,0.624,0.368,0.333,0.385,0.321,0.485,0.071,495.0,0.932,0.053,0.207,9.0,0.0
144,Active,DeMarre Carroll,carrode01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/carrode01.html,carrode01,394.0,9038.0,13.6,0.547,0.388,0.237,5.8,13.3,9.6,7.6,2.3,0.9,9.0,16.1,11.5,9.7,21.2,0.112,0.0,0.4,1.2,7.4,394.0,9038.0,0.446,14.4,0.612,0.27,0.144,0.05,0.149,0.388,0.498,0.657,0.362,0.341,0.391,0.365,0.674,0.025,66.0,0.96,0.359,0.393,4.0,0.0
145,Inactive,DeMarre Carroll,carrode01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/carrode01.html,carrode01,394.0,9038.0,13.6,0.547,0.388,0.237,5.8,13.3,9.6,7.6,2.3,0.9,9.0,16.1,11.5,9.7,21.2,0.112,0.0,0.4,1.2,7.4,394.0,9038.0,0.446,14.4,0.612,0.27,0.144,0.05,0.149,0.388,0.498,0.657,0.362,0.341,0.391,0.365,0.674,0.025,66.0,0.96,0.359,0.393,4.0,0.0
146,Active,Dejounte Murray,murrade01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/murrade01.html,murrade01,31.0,243.0,9.9,0.519,0.196,0.258,2.4,11.8,7.2,19.8,1.0,1.4,22.3,25.8,-0.3,0.3,0.0,-0.007,0.0,-1.0,-5.7,-0.2,31.0,243.0,0.443,9.5,0.804,0.278,0.392,0.082,0.052,0.196,0.449,0.593,0.421,0.25,0.2,0.421,0.429,0.021,2.0,0.875,0.263,0.6,0.0,0.0
147,Active,Delon Wright,wrighde01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/wrighde01.html,wrighde01,29.0,266.0,17.9,0.552,0.172,0.471,3.9,12.7,8.4,20.9,1.9,1.3,13.2,20.6,0.5,0.3,0.8,0.138,0.0,-0.6,-0.3,0.1,29.0,266.0,0.46,8.3,0.828,0.517,0.172,0.069,0.08,0.172,0.486,0.578,0.333,0.333,0.286,0.333,0.171,0.023,2.0,0.2,0.2,0.0,0.0,0.0
148,Active,Demetrius Jackson,jacksde01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jacksde01.html,jacksde01,4.0,17.0,31.2,0.753,0.25,1.5,13.2,13.2,13.2,28.0,0.0,0.0,0.0,17.5,0.1,0.0,0.1,0.387,0.0,-3.0,6.5,0.0,4.0,17.0,0.75,14.8,0.75,0.25,0.0,0.0,0.5,0.25,0.667,1.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
149,Active,Dennis Schroder,schrode01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/schrode01.html,schrode01,262.0,5506.0,14.7,0.517,0.256,0.242,1.8,10.0,6.0,33.8,1.6,0.3,17.2,26.7,1.2,5.6,6.9,0.06,0.0,-1.7,-2.3,-0.5,262.0,5506.0,0.432,11.9,0.744,0.369,0.128,0.075,0.172,0.256,0.467,0.544,0.359,0.393,0.412,0.331,0.227,0.005,7.0,0.716,0.108,0.368,8.0,0.0
150,Active,Denzel Valentine,valende01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/valende01.html,valende01,32.0,401.0,5.6,0.438,0.697,0.084,0.8,13.7,7.2,7.9,2.1,0.6,14.5,15.7,-0.5,0.4,-0.1,-0.008,0.0,-0.6,-4.3,-0.2,32.0,401.0,0.319,21.0,0.303,0.067,0.092,0.05,0.092,0.697,0.361,0.5,0.273,0.5,0.273,0.301,0.385,0.0,0.0,0.92,0.241,0.35,1.0,0.0
151,Active,Deron Williams,willide01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/willide01.html,willide01,821.0,28379.0,18.4,0.552,0.3,0.321,1.5,9.3,5.4,39.7,1.6,0.6,16.1,23.6,58.1,18.7,76.8,0.13,0.0,-1.9,1.4,24.1,821.0,28379.0,0.444,14.3,0.7,0.251,0.121,0.088,0.24,0.3,0.482,0.584,0.407,0.417,0.437,0.356,0.322,0.009,79.0,0.668,0.117,0.422,34.0,3.0
152,Active,Derrick Favors,favorde01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/favorde01.html,favorde01,469.0,12100.0,18.6,0.545,0.006,0.377,10.9,21.6,16.2,7.3,1.7,4.1,12.6,21.4,16.2,16.8,32.9,0.131,0.0,1.6,0.8,8.5,469.0,12100.0,0.509,6.6,0.994,0.463,0.239,0.174,0.119,0.006,0.511,0.686,0.371,0.377,0.313,0.125,0.646,0.135,529.0,1.0,0.25,0.333,4.0,0.0
153,Active,Derrick Jones,jonesde02,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jonesde02.html,jonesde02,7.0,24.0,23.5,0.854,0.0,0.167,8.9,4.8,6.9,6.9,0.0,3.4,0.0,11.3,0.1,0.0,0.1,0.252,0.0,-1.7,2.8,0.0,7.0,24.0,0.833,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.833,0.833,0.0,0.0,0.0,0.0,0.6,0.5,3.0,0.0,0.0,0.0,0.0,0.0
154,Active,Derrick Rose,rosede01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/rosede01.html,rosede01,455.0,15786.0,18.1,0.519,0.158,0.254,3.0,8.8,5.9,31.1,1.2,0.8,13.3,28.0,19.2,13.9,33.1,0.101,0.0,-1.3,0.6,10.4,455.0,15786.0,0.45,11.6,0.842,0.324,0.159,0.127,0.231,0.158,0.478,0.566,0.439,0.425,0.41,0.3,0.258,0.014,101.0,0.661,0.077,0.333,36.0,1.0
155,Active,Derrick Williams,willide02,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/willide02.html,willide02,406.0,8546.0,13.6,0.524,0.267,0.418,4.5,17.1,10.8,5.5,1.2,0.9,9.9,20.4,7.0,6.7,13.7,0.077,0.0,-1.6,-3.1,-2.4,406.0,8546.0,0.433,11.8,0.733,0.368,0.129,0.075,0.16,0.267,0.483,0.634,0.272,0.397,0.349,0.295,0.653,0.104,277.0,0.923,0.277,0.367,5.0,0.0
156,Inactive,Derrick Williams,willide02,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/willide02.html,willide02,406.0,8546.0,13.6,0.524,0.267,0.418,4.5,17.1,10.8,5.5,1.2,0.9,9.9,20.4,7.0,6.7,13.7,0.077,0.0,-1.6,-3.1,-2.4,406.0,8546.0,0.433,11.8,0.733,0.368,0.129,0.075,0.16,0.267,0.483,0.634,0.272,0.397,0.349,0.295,0.653,0.104,277.0,0.923,0.277,0.367,5.0,0.0
157,Active,Devin Booker,bookede01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bookede01.html,bookede01,132.0,4041.0,13.0,0.532,0.309,0.29,1.6,7.9,4.7,15.7,1.1,0.7,13.3,25.4,2.3,1.0,3.4,0.04,0.0,-2.6,-2.9,-0.9,132.0,4041.0,0.424,14.6,0.691,0.213,0.128,0.13,0.22,0.309,0.455,0.616,0.408,0.349,0.391,0.355,0.376,0.018,31.0,0.789,0.17,0.388,2.0,0.0
158,Active,Devin Harris,harride01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harride01.html,harride01,820.0,21117.0,16.4,0.551,0.289,0.442,1.5,8.8,5.1,27.7,2.2,0.6,15.2,21.9,32.3,17.5,49.8,0.113,0.0,-1.1,0.5,13.4,820.0,21117.0,0.435,12.7,0.711,0.348,0.11,0.087,0.166,0.289,0.48,0.58,0.377,0.396,0.385,0.324,0.292,0.007,43.0,0.769,0.141,0.419,51.0,1.0
159,Inactive,Devin Harris,harride01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harride01.html,harride01,820.0,21117.0,16.4,0.551,0.289,0.442,1.5,8.8,5.1,27.7,2.2,0.6,15.2,21.9,32.3,17.5,49.8,0.113,0.0,-1.1,0.5,13.4,820.0,21117.0,0.435,12.7,0.711,0.348,0.11,0.087,0.166,0.289,0.48,0.58,0.377,0.396,0.385,0.324,0.292,0.007,43.0,0.769,0.141,0.419,51.0,1.0
160,Active,Dewayne Dedmon,dedmode01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dedmode01.html,dedmode01,198.0,2805.0,15.1,0.594,0.002,0.395,12.2,26.9,19.6,2.9,1.3,4.6,16.1,13.4,3.8,4.7,8.4,0.144,0.0,1.4,-1.4,0.4,198.0,2805.0,0.565,3.9,0.998,0.64,0.24,0.062,0.057,0.002,0.566,0.664,0.382,0.432,0.382,0.0,0.681,0.262,134.0,0.0,0.0,0.0,0.0,0.0
161,Active,Deyonta Davis,davisde01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/davisde01.html,davisde01,25.0,183.0,10.9,0.526,0.0,0.385,10.3,21.7,15.8,1.7,0.3,7.3,14.9,13.2,0.1,0.3,0.4,0.095,0.0,2.0,-3.8,-0.1,25.0,183.0,0.513,4.9,1.0,0.667,0.128,0.026,0.179,0.0,0.513,0.615,0.6,0.0,0.143,0.0,0.7,0.282,10.0,0.0,0.0,0.0,0.0,0.0
162,Active,Diamond Stone,stonedi01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stonedi01.html,stonedi01,7.0,24.0,-1.2,0.339,0.0,0.308,4.7,22.5,13.8,0.0,0.0,3.4,11.9,31.0,-0.1,0.0,-0.1,-0.206,0.0,-6.8,-23.8,-0.1,7.0,24.0,0.231,10.2,1.0,0.308,0.231,0.154,0.308,0.0,0.231,0.25,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Active,Dion Waiters,waitedi01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/waitedi01.html,waitedi01,323.0,9237.0,12.1,0.49,0.275,0.221,1.8,8.6,5.2,15.4,1.8,0.7,11.8,23.5,0.4,6.5,6.9,0.036,0.0,-1.5,-2.5,-1.3,323.0,9237.0,0.413,13.4,0.725,0.317,0.086,0.069,0.253,0.275,0.44,0.518,0.301,0.401,0.4,0.341,0.323,0.028,96.0,0.844,0.303,0.367,3.0,0.0
164,Active,Dirk Nowitzki,nowitdi01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/nowitdi01.html,nowitdi01,1370.0,48029.0,22.9,0.579,0.205,0.361,3.4,21.7,12.6,12.8,1.2,1.9,8.5,26.8,141.3,58.8,200.1,0.2,0.0,0.2,3.4,65.9,1241.0,44133.0,0.475,14.9,0.798,0.146,0.085,0.251,0.317,0.202,0.498,0.644,0.408,0.472,0.475,0.385,0.556,0.018,352.0,0.938,0.104,0.397,20.0,0.0
165,Inactive,Dirk Nowitzki,nowitdi01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/nowitdi01.html,nowitdi01,1370.0,48029.0,22.9,0.579,0.205,0.361,3.4,21.7,12.6,12.8,1.2,1.9,8.5,26.8,141.3,58.8,200.1,0.2,0.0,0.2,3.4,65.9,1241.0,44133.0,0.475,14.9,0.798,0.146,0.085,0.251,0.317,0.202,0.498,0.644,0.408,0.472,0.475,0.385,0.556,0.018,352.0,0.938,0.104,0.397,20.0,0.0
166,Active,Domantas Sabonis,sabondo01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/sabondo01.html,sabondo01,57.0,1235.0,6.6,0.472,0.352,0.094,3.1,15.9,9.5,7.0,1.2,1.5,15.3,14.9,-0.9,1.3,0.4,0.016,0.0,-0.1,-4.9,-0.9,57.0,1235.0,0.403,12.7,0.648,0.287,0.213,0.051,0.097,0.352,0.452,0.554,0.373,0.278,0.412,0.315,0.631,0.045,14.0,1.0,0.282,0.286,0.0,0.0
167,Active,Donatas Motiejunas,motiedo01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/motiedo01.html,motiedo01,235.0,4402.0,12.6,0.532,0.259,0.265,7.3,15.6,11.5,9.8,1.3,1.4,14.3,19.2,2.9,4.4,7.3,0.08,0.0,-0.3,-1.8,0.2,235.0,4402.0,0.474,10.3,0.741,0.266,0.404,0.052,0.019,0.259,0.532,0.646,0.49,0.372,0.286,0.307,0.664,0.025,34.0,0.992,0.413,0.319,6.0,0.0
168,Active,Dorian Finney-Smith,finnedo01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/finnedo01.html,finnedo01,55.0,1143.0,7.9,0.522,0.601,0.221,3.2,11.9,7.3,6.1,1.6,1.3,12.7,11.1,0.2,1.0,1.2,0.051,0.0,1.3,-1.1,0.3,55.0,1143.0,0.394,16.8,0.399,0.244,0.07,0.023,0.061,0.601,0.518,0.654,0.4,0.0,0.308,0.313,0.682,0.089,15.0,1.0,0.398,0.255,1.0,0.0
169,Active,Doug McDermott,mcderdo01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mcderdo01.html,mcderdo01,161.0,3260.0,10.7,0.551,0.399,0.148,1.9,10.1,6.0,5.3,0.4,0.3,7.9,17.5,3.1,1.6,4.7,0.069,0.0,-2.7,-3.5,-1.3,161.0,3260.0,0.445,14.8,0.601,0.244,0.12,0.093,0.144,0.399,0.476,0.577,0.385,0.433,0.407,0.399,0.773,0.021,21.0,0.983,0.294,0.402,0.0,0.0
