,Unnamed: 0,X1,X2,labels,Player,Status,Player_ID,url,G,GS,MP_,FG_100,FGA_100,FG%_100,3P_100,3PA_100,3P%_100,2P_100,2PA_100,2P%_100,FT_100,FTA_100,FT%_100,ORB_100,DRB_100,TRB_100,AST_100,STL_100,BLK_100,TOV_100,PF_100,PTS_100,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
451,,,,,,,willima01,,818,525,23872,8.9,20.5,0.434,2.4,6.4,0.378,6.5,14.2,0.46,3.4,3.9,0.871,0.9,4.1,5.0,8.8,1.6,0.3,4.1,4.4,23.7,106,110,15.0,0.532,0.31,0.192,2.0,9.1,5.5,28.1,1.6,0.4,15.5,22.8,25.4,14.6,40.0,0.08,1.3,-1.9,-0.5,8.9
452,,,,,,,ellismo01,,808,703,28344,9.9,22.0,0.451,1.3,4.0,0.313,8.6,17.9,0.482,4.7,6.0,0.775,0.9,4.0,4.9,6.7,2.4,0.5,3.9,3.3,25.7,103,109,16.1,0.523,0.184,0.275,1.9,9.1,5.5,21.8,2.4,0.7,13.6,25.0,20.2,21.3,41.6,0.07,0.4,-0.7,-0.3,12.2
453,,,,,,,harremo01,,86,15,1271,9.4,14.6,0.647,0.0,0.2,0.25,9.4,14.4,0.651,3.3,5.5,0.6,3.7,5.7,9.3,2.9,1.1,1.7,2.2,5.5,22.2,126,109,18.0,0.653,0.01,0.38,8.4,12.9,10.6,9.4,1.1,2.9,11.3,16.9,3.3,1.1,4.4,0.168,0.4,0.0,0.3,0.8
454,,,,,,,turnemy01,,116,86,3099,9.4,18.5,0.509,0.6,1.7,0.343,8.8,16.8,0.526,4.5,5.8,0.773,2.5,9.2,11.8,1.7,1.2,3.3,2.4,5.5,23.9,109,104,17.6,0.568,0.093,0.313,5.7,20.4,13.1,5.5,1.2,5.6,10.1,21.0,3.9,4.7,8.6,0.133,-1.7,1.7,-0.1,1.5
455,,,,,,,robinna01,,618,107,13878,9.2,21.7,0.423,3.0,8.4,0.36,6.2,13.3,0.463,4.0,5.1,0.796,1.4,4.0,5.4,6.8,2.0,0.2,3.3,5.5,25.4,108,110,15.6,0.531,0.388,0.234,3.1,8.9,6.0,22.6,2.0,0.2,12.0,23.6,18.5,9.4,27.8,0.096,2.1,-1.9,0.2,7.8
456,,,,,,,woltena01,,79,31,1556,6.4,15.0,0.426,0.6,2.3,0.261,5.8,12.6,0.456,2.0,3.2,0.635,1.4,4.8,6.1,7.0,1.4,0.6,2.3,2.9,15.4,101,113,11.4,0.47,0.155,0.215,2.9,10.7,6.7,21.5,1.4,0.9,12.5,16.2,0.5,0.4,1.0,0.03,-2.1,-1.7,-3.9,-0.7
457,,,,,,,mohamna01,,1005,354,15891,8.0,16.5,0.486,0.0,0.0,0.0,8.0,16.5,0.487,3.4,5.3,0.64,6.0,9.7,15.7,1.3,1.4,2.1,3.1,7.2,19.4,103,102,15.0,0.516,0.002,0.324,13.3,21.0,17.2,4.0,1.4,3.0,14.0,19.0,11.1,23.2,34.3,0.104,-2.6,0.1,-2.5,-2.0
458,,,,,,,bjeline01,,115,1,2022,5.7,12.9,0.443,2.4,6.8,0.344,3.4,6.1,0.554,1.9,2.6,0.733,2.2,7.6,9.8,3.6,1.5,0.9,2.4,7.0,15.7,108,110,10.8,0.559,0.53,0.204,4.9,17.5,11.2,10.5,1.5,1.4,14.7,14.5,1.6,1.4,3.0,0.071,-0.2,-0.3,-0.6,0.7
459,,,,,,,hilarne01,,853,619,23575,8.4,15.4,0.546,0.0,0.1,0.152,8.4,15.3,0.548,5.2,7.9,0.662,3.4,8.4,11.7,3.5,2.1,1.5,3.5,5.8,22.0,110,103,17.1,0.584,0.006,0.513,7.6,18.7,13.2,11.4,2.1,2.2,15.7,19.5,33.8,34.1,67.8,0.138,0.0,2.0,2.0,23.8
460,,,,,,,noelne01,,171,140,4840,7.3,14.5,0.505,0.0,0.0,0.333,7.3,14.4,0.506,3.2,5.3,0.61,3.9,9.3,13.3,2.9,3.0,2.7,3.4,4.8,17.9,100,101,16.2,0.532,0.002,0.367,8.3,21.3,14.6,10.0,3.0,4.4,16.8,17.8,1.2,8.1,9.2,0.091,-2.8,3.9,1.1,3.8
