,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,unique_id
90,14,103,103.7,99.7,4.0,68.2,1.53,19.2,22.6,76.8,50.5,0.2,52.7,56.2,102.64,56.3,
91,6,67,96.0,83.5,12.6,62.5,2.0,16.1,22.8,79.7,50.3,0.1,43.7,47.0,99.31,57.0,10200.011
92,12,81,104.4,106.0,-1.6,58.7,1.76,17.7,19.7,83.8,53.6,0.1,50.0,55.0,92.23,51.4,
93,6,79,108.1,124.4,-16.3,63.6,1.5,19.3,18.0,70.2,43.2,0.2,57.1,60.3,100.14,44.2,1101.011
94,6,53,100.9,92.5,8.4,54.8,1.64,16.4,19.2,83.7,48.4,0.1,49.0,52.4,96.56,51.8,1000.022
95,10,70,109.0,121.8,-12.8,48.0,1.71,13.2,13.6,81.1,43.7,0.1,50.8,56.4,100.9,39.8,10200.2
96,5,57,93.7,114.4,-20.7,46.3,0.83,12.0,18.5,82.6,48.0,0.2,44.9,52.1,108.31,35.2,
97,17,69,130.2,109.0,21.2,46.7,1.65,16.0,20.4,79.0,53.2,0.1,62.5,68.6,99.67,58.7,101.21
98,13,82,117.2,111.4,5.9,64.1,1.79,20.6,37.1,78.2,58.8,0.2,55.9,59.3,97.76,53.6,1100.021
99,15,186,120.5,117.0,3.5,72.0,2.29,23.1,22.1,77.3,51.3,0.1,61.1,64.1,99.51,52.4,1100.021
100,19,60,109.7,104.5,5.2,51.2,1.91,14.9,21.2,82.5,47.8,0.1,48.9,54.8,87.99,52.6,
101,20,63,120.5,85.0,35.5,65.1,1.87,18.3,25.0,74.6,54.5,0.1,56.0,63.0,90.19,77.9,
102,7,55,128.0,102.8,25.3,50.0,1.86,18.0,25.6,84.3,58.9,0.1,63.3,66.5,96.48,63.7,1101.011
103,31,365,106.7,115.5,-8.8,48.8,1.35,15.5,26.7,76.3,50.1,0.2,51.4,55.1,95.52,43.3,11100.011
104,12,62,102.2,114.1,-11.9,41.7,0.83,12.7,13.0,71.2,43.9,0.2,54.5,59.3,101.55,42.7,1200.011
105,23,147,129.0,102.2,26.8,57.6,2.24,18.4,33.3,70.3,53.4,0.1,57.9,63.0,95.03,65.1,1101.011
106,10,108,114.3,98.9,15.4,50.0,1.64,15.7,31.3,81.6,56.7,0.1,51.6,56.6,97.93,59.6,11100.011
107,6,88,107.3,111.0,-3.7,35.9,1.22,12.6,26.9,82.7,54.2,0.1,51.9,54.3,94.11,46.7,100.112
108,29,108,104.4,101.2,3.2,60.0,3.18,18.4,31.2,77.7,52.7,0.1,46.4,48.2,91.92,52.6,10111.001
109,30,391,103.7,111.6,-7.9,54.4,1.96,16.7,26.6,80.2,50.3,0.1,48.9,50.9,97.35,44.5,11101.001
110,46,396,109.2,108.6,0.6,54.1,2.21,18.0,21.5,77.1,48.8,0.1,53.4,55.4,96.05,49.8,112.001
111,30,107,105.3,109.2,-3.9,53.8,1.69,16.6,26.0,74.3,49.8,0.1,50.5,53.1,96.82,46.9,10111.001
