unique_id,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
10001.12,20,135,103.7,115.8,-12,56.8,2.1,16.7,26.1,68.8,45.2,0.1,46.9,50.8,98.25,42.9
11100.011,11,135,102.4,101.1,1.3,48.5,1.25,14.7,28.4,78.9,56,0.2,49.6,53.4,92.76,51.9
1002.011,14,133,111,114.2,-3.3,52.2,1.5,17.1,25,70.8,48.7,0.2,55.7,58.1,95.32,47.6
100.112,7,132,101.9,90.5,11.4,53.4,1.57,15.8,33.6,90.4,60.8,0.1,46.7,49.6,91.79,53
22100,20,132,109.3,102.3,7,52.4,1.67,16,23.9,72.8,51,0.1,51.8,56.2,95.74,54.1
111.101,8,132,106.8,108,-1.2,56.5,1.84,18.2,22.7,78.3,47.9,0.1,53.5,55.1,104.07,46.6
10111.1,24,132,120,103.6,16.4,49,2.08,15.4,28.1,67.3,46.5,0.1,54.1,57.6,90.02,52.5
1000.022,15,131,105.1,99,6.1,52,1.39,15.2,28.4,76.7,54.2,0.1,48.4,53.6,96.96,52.1
,19,131,106.3,109.5,-3.2,67,2.28,21.1,35.8,72.4,53.7,0.1,49.3,51.6,87.3,50.3
11002.01,13,130,94.9,96.5,-1.6,57,1.63,16.7,20.7,80.9,50,0.1,45.6,49.3,94.19,51.4
11200.001,26,128,104.7,89.8,14.9,55.2,1.07,16.9,29.6,77.9,56.4,0.2,54.6,58,94.33,62.6
21200,16,127,107.5,100.4,7.1,54.4,1.93,17.2,17.9,77.4,48,0.1,52.8,55.8,96.35,51.6
1101.011,43,127,124.4,97,27.4,69,3.35,22.3,22.7,71.8,48,0.1,58.7,62.4,104.18,68
21100.01,14,126,101.6,98.4,3.2,65,1.63,18.8,27.2,74.2,52.1,0.2,49.5,52.8,96.07,56.3
10110.011,19,125,99.2,111.2,-12,57.3,1.67,16.1,32,73.9,51.7,0.1,45.2,48.2,93.59,42.1
111.011,8,125,107.8,97.7,10.1,59.4,1.75,18.1,26.2,77.4,52.7,0.1,51.1,55.7,97.26,55.8
101.111,18,124,111.2,98.3,12.9,65.7,1.97,20.6,30.2,69,50.2,0.1,53.7,56.5,95.27,60.5
10001.21,14,124,97.1,99.1,-2,67.8,1.55,18.4,23.9,81.7,52.8,0.2,48.5,51.2,90.75,51.2
12100.001,15,124,88.7,94.8,-6.1,51.2,1,12.5,26.5,71.7,50.2,0.2,39.8,45.6,100.88,46.3
21200,28,123,98.3,115.3,-17,57.3,1.72,16.5,25,78.7,48.6,0.1,46.6,49.5,96.39,42
10000.211,22,123,110.6,94.8,15.8,58.4,1.69,17.9,23.8,79.5,53.7,0.1,53.4,57.6,96.3,60
1001.012,16,122,95,94.1,0.8,62.8,1.97,18.3,20.9,71.8,45.8,0.1,44.9,48.7,97.41,51.9
11.111,14,122,108.8,93.2,15.6,59.2,1.71,17.9,17.3,76.5,48.4,0.1,53.7,58.2,98.52,59.2
11100.011,13,121,97.4,103.4,-6,72.1,2.14,19.4,26.3,70.9,47.8,0.1,45.6,48.3,89.39,49.3
11200.001,14,121,111.4,101.9,9.6,61.1,2,19.4,23.4,78.1,50,0.1,54.3,57.3,98.26,54.7
21000.11,10,121,106.8,107.5,-0.6,61.6,1.49,19.1,25.3,70.3,50,0.2,54.3,57.9,92.43,50.8
10011.02,29,120,106.6,95.6,11,59.6,2.07,17.2,12.4,76,41.6,0.1,52.6,56.1,101.15,56.7
10111.01,28,120,96.4,110.3,-13.9,79.8,2.22,22.1,12.3,62.2,38.7,0.1,49.5,52.4,93.64,44.6
1101.011,12,119,87.1,108.4,-21.3,56.4,1.42,15.3,19.8,76,45.8,0.1,42.4,45.2,89.45,33.8
11100.011,10,119,95.8,105.3,-9.5,61.9,1.49,16.3,23.9,73.3,47.6,0.1,44.5,49.8,96.61,45.3
11000.111,10,118,96.7,102.2,-5.4,66.7,1.33,18.7,20.9,77,50.3,0.2,49.2,53.9,92.79,50.3
2100.011,11,118,82.6,100.8,-18.2,47.4,1.2,13,16.8,75.5,43.5,0.1,41.5,43.5,91.57,34.9
11101.001,12,118,98.2,105.3,-7.1,45.9,1.05,12.9,33.6,78,53.9,0.2,45.5,48.4,90.89,40.3
1100.102,15,118,109.7,105.7,4.1,52.9,1.93,16.6,35.1,68.2,52.9,0.1,49.1,52.4,94.71,53.7
11100.011,9,117,104.8,110,-5.2,53.5,1.74,16.9,32.4,75.8,53.1,0.1,50.2,51.5,94.51,46.4
1100.012,11,117,102.9,99.3,3.6,54.4,1.6,17.6,26,81,55.6,0.1,51.7,53.5,96.29,54.2
21101,13,117,104,102.1,1.9,65.6,2.35,18.4,31.3,81.3,52.1,0.1,44.7,50.1,96.42,50.5
12101,12,117,112.6,93.3,19.3,64.1,3,21.2,15.3,87.6,52.7,0.1,55.2,58.1,94.14,62
1100.012,9,116,99.5,108,-8.5,63.8,1.67,19.3,21.4,76,49.5,0.2,50.7,53.2,95.22,46.4
12101,16,116,98,95.9,2.1,51.5,1.63,16.6,18.3,86.7,52.6,0.1,49.1,51.8,99.38,50.3
1000.022,8,115,97.7,104.2,-6.5,52.4,1.34,14.9,24.8,73.5,48.3,0.1,46.1,50,91.49,43.6
1000.121,7,114,112.7,115.3,-2.6,55.9,2.17,17.5,26.5,81.6,51.9,0.1,52,55.6,91.61,46.4
111.101,20,114,112.1,114.5,-2.4,55.4,1.65,17,28.3,78.1,52,0.1,53.6,57,100.84,47.1
11000.021,11,113,98.2,107,-8.8,51.9,1.02,14.7,27,70.3,48.9,0.2,48.9,53.2,94.13,42.1
11001.101,26,112,123.5,95.3,28.2,55,2.62,17.8,33.3,83.1,58.5,0.1,54.2,59.6,95.87,64.5
21000.02,22,109,114.5,87.9,26.7,49.4,1.35,15.7,29.5,82.8,59.3,0.2,54.8,59.6,90.16,64.6
