first_pos,second_pos,third_pos,fourth_pos,fifth_pos,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
J.Crawford,B.Griffin,D.Jordan,C.Paul,J.Redick,LAC,27,97,121.3,113,8.4,53,1.69,15.7,26.3,83.3,53.3,0.1,57.2,62.1,100.81,57.3
J.Crawford,R.Felton,W.Johnson,A.Rivers,M.Speights,LAC,32,231,98.1,98.9,-0.8,46.7,1.31,13.1,16.9,71.8,44.1,0.1,46.7,51.4,97.64,48.1
J.Crawford,R.Felton,B.Griffin,A.Rivers,M.Speights,LAC,26,74,109.7,102.7,7,53.2,1.83,17.2,11.1,73.2,44,0.1,55.1,59.1,100.72,52.4
A.Crabbe,M.Leonard,C.McCollum,E.Turner,N.Vonleh,POR,15,58,102,109.7,-7.6,58.3,1.87,17.8,11.1,83.9,48.2,0.1,51.9,55,102.61,47.2
A.Crabbe,M.Harkless,D.Lillard,M.Plumlee,E.Turner,POR,26,77,113.6,109.7,3.9,50,1.42,16.6,26.2,70.9,50.7,0.2,57.4,59.5,98.25,52.5
A.Crabbe,M.Harkless,D.Lillard,C.McCollum,M.Plumlee,POR,20,107,125.1,114.8,10.3,53.5,1.86,17.8,23.9,68.4,47,0.1,60.3,64.8,101.35,54.7
A.Crabbe,E.Davis,M.Harkless,C.McCollum,E.Turner,POR,13,63,109.5,92.2,17.3,58,1.32,17.5,20,78.8,55,0.2,54.5,61,99.11,62.8
R.Covington,E.Ilyasova,T.McConnell,J.Okafor,N.Stauskas,PHI,14,80,99.1,114.6,-15.5,60.7,1.42,16.8,18.7,68.7,42.3,0.2,49.6,53.3,100.24,42.6
R.Covington,E.Ilyasova,T.McConnell,N.Noel,N.Stauskas,PHI,18,70,99.1,106,-6.9,71,2,21,18.6,71.4,45,0.1,51.1,52.7,102.1,49.8
R.Covington,G.Henderson,J.Okafor,S.Rodriguez,D.Saric,PHI,15,55,88.9,130.1,-41.2,48.8,1.05,14.8,14.9,72.7,38.8,0.2,50,50.2,96.49,28.8
R.Covington,G.Henderson,T.McConnell,J.Okafor,D.Saric,PHI,11,54,103,108.5,-5.5,60.5,2.36,16.9,22.4,75.6,44.4,0.1,47.1,50.6,102.68,44.2
R.Covington,G.Henderson,E.Ilyasova,J.Okafor,S.Rodriguez,PHI,15,61,82.4,109.9,-27.5,65.9,1.93,16.7,14.9,80.8,43.7,0.1,40.4,42.5,96.86,32.3
R.Covington,G.Henderson,E.Ilyasova,T.McConnell,J.Okafor,PHI,13,56,94.9,113,-18.2,48.9,1.47,14.9,15.4,79.2,46,0.1,47.1,50.4,98.37,40.9
R.Covington,G.Henderson,E.Ilyasova,T.McConnell,N.Noel,PHI,19,67,107.1,102,5,69,1.6,19.9,22.6,78.9,49.6,0.2,54.1,57.9,107.23,55
R.Covington,J.Embiid,E.Ilyasova,T.McConnell,N.Stauskas,PHI,14,115,104.3,90.3,14,74.5,1.75,21.1,28,77.4,53.4,0.2,52.4,55,97.06,58.3
R.Covington,J.Embiid,G.Henderson,S.Rodriguez,D.Saric,PHI,12,83,92.5,83.9,8.6,62.1,1.03,15.4,23.3,84.5,56.1,0.2,45.5,51.4,100.79,62
R.Covington,J.Embiid,G.Henderson,J.Okafor,S.Rodriguez,PHI,7,58,88.8,122.3,-33.4,73,1.42,17.9,18.5,73.8,42.7,0.2,44.7,48.2,93.42,33.1
R.Covington,J.Embiid,G.Henderson,E.Ilyasova,S.Rodriguez,PHI,14,103,103.7,99.7,4,68.2,1.53,19.2,22.6,76.8,50.5,0.2,52.7,56.2,102.64,56.3
D.Cousins,A.Davis,S.Hill,J.Holiday,H.Thompson,NOP,6,67,96,83.5,12.6,62.5,2,16.1,22.8,79.7,50.3,0.1,43.7,47,99.31,57
M.Conley,J.Ennis III,M.Gasol,J.Green,C.Parsons,MEM,12,81,104.4,106,-1.6,58.7,1.76,17.7,19.7,83.8,53.6,0.1,50,55,92.23,51.4
D.Collison,D.Cousins,R.Gay,G.Temple,A.Tolliver,SAC,6,79,108.1,124.4,-16.3,63.6,1.5,19.3,18,70.2,43.2,0.2,57.1,60.3,100.14,44.2
D.Collison,D.Cousins,R.Gay,K.Koufos,B.McLemore,SAC,6,53,100.9,92.5,8.4,54.8,1.64,16.4,19.2,83.7,48.4,0.1,49,52.4,96.56,51.8
J.Clarkson,B.Ingram,J.Randle,D.Russell,N.Young,LAL,10,70,109,121.8,-12.8,48,1.71,13.2,13.6,81.1,43.7,0.1,50.8,56.4,100.9,39.8
J.Clarkson,L.Deng,L.Nance Jr.,L.Williams,I.Zubac,LAL,5,57,93.7,114.4,-20.7,46.3,0.83,12,18.5,82.6,48,0.2,44.9,52.1,108.31,35.2
J.Clarkson,L.Deng,B.Ingram,L.Nance Jr.,L.Williams,LAL,17,69,130.2,109,21.2,46.7,1.65,16,20.4,79,53.2,0.1,62.5,68.6,99.67,58.7
W.Chandler,D.Gallinari,G.Harris,N.Jokic,J.Nelson,DEN,13,82,117.2,111.4,5.9,64.1,1.79,20.6,37.1,78.2,58.8,0.2,55.9,59.3,97.76,53.6
W.Chandler,D.Gallinari,G.Harris,N.Jokic,E.Mudiay,DEN,15,186,120.5,117,3.5,72,2.29,23.1,22.1,77.3,51.3,0.1,61.1,64.1,99.51,52.4
V.Carter,J.Ennis III,M.Gasol,A.Harrison,Z.Randolph,MEM,19,60,109.7,104.5,5.2,51.2,1.91,14.9,21.2,82.5,47.8,0.1,48.9,54.8,87.99,52.6
V.Carter,M.Conley,J.Ennis III,M.Gasol,J.Green,MEM,20,63,120.5,85,35.5,65.1,1.87,18.3,25,74.6,54.5,0.1,56,63,90.19,77.9
D.Carroll,K.Lowry,P.Patterson,N.Powell,J.Valanciunas,TOR,7,55,128,102.8,25.3,50,1.86,18,25.6,84.3,58.9,0.1,63.3,66.5,96.48,63.7
D.Carroll,D.DeRozan,K.Lowry,P.Siakam,J.Valanciunas,TOR,31,365,106.7,115.5,-8.8,48.8,1.35,15.5,26.7,76.3,50.1,0.2,51.4,55.1,95.52,43.3
